Results for well: MSWell_1_Seg.out in the reservoir: MSWell_1_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 109	1436.7	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 110	1447.09	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 111	1457.47	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 112	1467.85	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 113	1478.23	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 114	1488.62	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 115	1499	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 116	1509.38	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 117	1519.76	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 118	1530.15	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 119	1540.53	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 120	1550.91	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 121	1561.3	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 122	1571.68	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 123	1582.06	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 124	1592.44	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 125	1602.83	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 126	1613.21	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 127	1623.59	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 128	1633.97	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 129	1644.36	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 130	1654.74	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 131	1665.12	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 132	1675.5	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 133	1685.89	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 134	1696.27	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 135	1706.65	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 136	1717.03	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 137	1727.42	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 138	1737.8	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 139	1748.18	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 140	1758.56	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 141	1768.95	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 142	1779.33	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 143	1789.71	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 144	1800.1	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 145	1810.48	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 146	1820.86	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 147	1831.24	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 148	1841.63	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 149	1852.01	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 150	1862.39	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 151	1872.77	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 152	1883.16	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 153	1893.54	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 154	1903.92	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 155	1914.3	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 156	1924.69	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 157	1935.07	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 158	1945.45	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 159	1955.83	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 160	1966.22	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 161	1976.6	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 162	1986.98	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 163	1997.36	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 164	2007.75	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 165	2018.13	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 166	2028.51	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 167	2038.89	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 168	2049.28	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 169	2059.66	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 170	2070.04	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 171	2080.43	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 172	2090.81	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 173	2101.19	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 174	2111.57	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 175	2121.96	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 176	2132.34	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 177	2142.72	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 178	2153.1	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 179	2163.49	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 180	2173.87	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 181	2184.25	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 182	2194.63	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 183	2205.02	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 184	2215.4	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 185	2225.78	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 186	2236.16	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 187	2246.55	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 188	2256.93	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 189	2267.31	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 190	2277.69	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
