KVALUES
Results of phase equilibrium constant Ki at temperature = 620

P(psia)  K[1]	K[2]	K[3]	K[4]	K[5]	K[6]	
     145    22.03831    2.171511   0.1313176  0.004145456  8.746462e-005  1.75002e-006  
     146    21.89112    2.158065   0.1305913  0.004126198  8.7153e-005  1.745632e-006  
     147    21.74594    2.144803    0.129875  0.004107221  8.684648e-005  1.741335e-006  
     148    21.60272     2.13172   0.1291687  0.004088518  8.654497e-005  1.737127e-006  
     149    21.46143    2.118814    0.128472  0.004070084  8.624835e-005  1.733006e-006  
     150    21.32202    2.106081   0.1277847  0.004051914  8.595655e-005  1.72897e-006  
     151    21.18446    2.093517   0.1271068  0.004034002  8.566946e-005  1.725018e-006  
     152    21.04871    2.081119    0.126438  0.004016344  8.5387e-005  1.721148e-006  
     153    20.91473    2.068884   0.1257781  0.003998935  8.510907e-005  1.717359e-006  
     154     20.7825    2.056808    0.125127  0.003981768  8.48356e-005  1.71365e-006  
     155    20.65198     2.04489   0.1244845  0.003964842  8.456649e-005  1.710019e-006  
     156    20.52313    2.033124   0.1238504  0.003948149  8.430167e-005  1.706464e-006  
     157    20.39592     2.02151   0.1232246  0.003931687  8.404106e-005  1.702985e-006  
     158    20.27032    2.010042   0.1226068  0.00391545  8.378458e-005  1.699579e-006  
     159    20.14631     1.99872   0.1219971  0.003899434  8.353216e-005  1.696247e-006  
     160    20.02384    1.987541   0.1213951  0.003883637  8.328371e-005  1.692985e-006  
     161     19.9029      1.9765   0.1208008  0.003868052  8.303918e-005  1.689794e-006  
     162    19.78345    1.965597    0.120214  0.003852677  8.279849e-005  1.686673e-006  
     163    19.66547    1.954828   0.1196346  0.003837507  8.256157e-005  1.683619e-006  
     164    19.54893    1.944192   0.1190625  0.00382254  8.232836e-005  1.680632e-006  
     165     19.4338    1.933684   0.1184974  0.003807771  8.209879e-005  1.67771e-006  
     166    19.32007    1.923305   0.1179394  0.003793196  8.18728e-005  1.674854e-006  
