 % Watched Cells Output (dead cell outpus 'd' if any)
time	pres(0)	sat(0)	sat(0)	pres(499)	sat(499)	sat(499)	
day	psi	**	**	psi	**	**	
922.0972	3160.855	1	0	2546.72	0.5288116	0.4711884	
930.8394	3160.543	1	0	2546.612	0.528807	0.471193	
939.0837	3160.245	1	0	2546.52	0.5288041	0.4711959	
946.2689	3160.002	1	0	2546.44	0.5288024	0.4711976	
964.717	3159.451	1	0	2546.214	0.5287961	0.4712039	
969.717	3159.305	1	0	2546.153	0.5287941	0.4712059	
982.8732	3158.863	1	0	2546.034	0.5287944	0.4712056	
989.3676	3158.654	1	0	2545.981	0.5287964	0.4712036	
1004.544	3158.22	1	0	2545.849	0.528803	0.471197	
1014.544	3157.949	1	0	2545.758	0.5288067	0.4711933	
1034.544	3157.429	1	0	2545.585	0.5288136	0.4711864	
1054.544	3156.877	1	0	2545.46	0.528828	0.471172	
1074.544	3156.391	1	0	2545.327	0.5288425	0.4711575	
1094.544	3155.924	1	0	2545.214	0.5288581	0.4711419	
1114.544	3155.481	1	0	2545.098	0.5288721	0.4711279	
1122.104	3155.324	1	0	2545.053	0.528877	0.471123	
1141.725	3154.956	1	0	2544.928	0.5288859	0.4711141	
1161.725	3154.586	1	0	2544.821	0.5288955	0.4711045	
1181.725	3154.18	1	0	2544.777	0.5289129	0.4710871	
1200.229	3153.84	1	0	2544.72	0.5289256	0.4710744	
1212.547	3153.638	1	0	2544.673	0.5289303	0.4710697	
1232.547	3153.321	1	0	2544.61	0.5289331	0.4710669	
1252.547	3152.992	1	0	2544.585	0.5289371	0.4710629	
1258.489	3152.897	1	0	2544.579	0.5289384	0.4710616	
1272.653	3152.677	1	0	2544.568	0.5289396	0.4710604	
1292.653	3152.357	1	0	2544.577	0.5289378	0.4710622	
1312.653	3152.074	1	0	2544.564	0.5289257	0.4710743	
1332.653	3151.807	1	0	2544.551	0.5289044	0.4710956	
1342.653	3151.663	1	0	2544.552	0.5288926	0.4711074	
1345.735	3151.619	1	0	2544.552	0.5288889	0.4711111	
1354.264	3151.511	1	0	2544.551	0.5288774	0.4711226	
1374.264	3151.295	1	0	2544.533	0.5288401	0.4711599	
1394.264	3151.104	1	0	2544.492	0.5287906	0.4712094	
1400	3151.053	1	0	2544.48	0.5287754	0.4712246	
