 % Watched Cells Output (dead cell outpus 'd' if any)
time	pres(0)	sat(0)	sat(0)	pres(499)	sat(499)	sat(499)	
day	psi	**	**	psi	**	**	
69.29514	3250.327	1	0	2600.467	0.4952983	0.5047017	
75.90739	3248.683	1	0	2599.958	0.5003652	0.4996348	
80.7837	3247.452	1	0	2599.523	0.5037945	0.4962055	
91.79587	3244.607	1	0	2598.463	0.5097188	0.4902812	
99.30207	3242.69	1	0	2597.707	0.513001	0.486999	
104.8664	3241.293	1	0	2597.087	0.5150554	0.4849446	
109.0352	3240.262	1	0	2596.6	0.5163822	0.4836178	
112.2996	3239.463	1	0	2596.205	0.5173156	0.4826844	
114.876	3238.834	1	0	2595.895	0.5179974	0.4820026	
121.7417	3237.214	1	0	2594.966	0.5195115	0.4804885	
126.8255	3236.043	1	0	2594.24	0.5204837	0.4795163	
130.6881	3235.159	1	0	2593.724	0.521165	0.478835	
133.5254	3234.513	1	0	2593.349	0.5216403	0.4783597	
135.7043	3234.02	1	0	2593.059	0.5219906	0.4780094	
137.3659	3233.644	1	0	2592.837	0.5222488	0.4777512	
141.9573	3232.625	1	0	2592.19	0.5228876	0.4771124	
145.454	3231.858	1	0	2591.695	0.5233276	0.4766724	
154.1123	3229.983	1	0	2590.493	0.5241688	0.4758312	
160.363	3228.642	1	0	2589.679	0.524666	0.475334	
165.2382	3227.628	1	0	2589.047	0.5249977	0.4750023	
168.8434	3226.885	1	0	2588.584	0.525214	0.474786	
178.1019	3225.098	1	0	2587.321	0.5256133	0.4743867	
184.5707	3223.877	1	0	2586.436	0.5258263	0.4741737	
189.4416	3222.985	1	0	2585.762	0.5259555	0.4740445	
192.9983	3222.347	1	0	2585.261	0.5260351	0.4739649	
195.6962	3221.872	1	0	2584.878	0.5260875	0.4739125	
197.7466	3221.515	1	0	2584.586	0.526123	0.473877	
203.3204	3220.559	1	0	2583.79	0.5261918	0.4738082	
207.3129	3219.888	1	0	2583.219	0.5262294	0.4737706	
210.2751	3219.391	1	0	2582.802	0.5262514	0.4737486	
218.186	3218.075	1	0	2581.736	0.526283	0.473717	
223.7237	3217.145	1	0	2581.029	0.526297	0.473703	
236.9781	3214.952	1	0	2579.49	0.5263157	0.4736843	
246.3542	3213.496	1	0	2578.46	0.5263459	0.4736541	
253.1009	3212.5	1	0	2577.724	0.5263721	0.4736279	
257.9406	3211.784	1	0	2577.208	0.5263903	0.4736097	
261.5521	3211.276	1	0	2576.822	0.5264037	0.4735963	
264.1823	3210.914	1	0	2576.54	0.526413	0.473587	
266.1196	3210.651	1	0	2576.331	0.5264194	0.4735806	
267.5557	3210.456	1	0	2576.176	0.5264239	0.4735761	
271.6087	3209.922	1	0	2575.739	0.5264334	0.4735666	
274.5826	3209.544	1	0	2575.415	0.5264405	0.4735595	
276.8141	3209.266	1	0	2575.17	0.5264464	0.4735536	
278.5186	3209.054	1	0	2574.983	0.5264508	0.4735492	
283.3364	3208.434	1	0	2574.467	0.5264622	0.4735378	
286.902	3208.002	1	0	2574.082	0.5264708	0.4735292	
