Results for well: MSWell_1_Seg.out in the reservoir: MSWell_1_Seg.out

t	BHP	q(Gas)	q(Oil)
days	psi	Mscf/d	stb/d
0         	0         	-         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 31	5331.33	40.33	1.21667	0	1.21667	0	0	1	0
Seg 32	5356.88	40.33	1.21611	0	1.21611	0	0	1	0
Seg 33	5382.42	40.33	1.21556	0	1.21556	0	0	1	0
Seg 34	5408.19	40.33	1.215	2.59564e-009	1.215	0	2.13584e-009	1	0


0.402091  	4700      	-         	3610.46   	3139.53   	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	4700	40.33	2.26774	0.11576	2.15198	0	0.0510465	0.948954	0
Seg 1	4700	40.33	2.27246	0.115997	2.15646	0	0.0510388	0.948961	0
Seg 2	4745.13	40.33	2.25916	0.102391	2.15677	0	0.0453171	0.954683	0
Seg 3	4789.99	40.33	2.2462	0.0891186	2.15708	0	0.0396705	0.96033	0
Seg 4	4834.6	40.33	2.23356	0.076165	2.15739	0	0.0340962	0.965904	0
Seg 5	4878.96	40.33	2.22122	0.063518	2.1577	0	0.0285925	0.971407	0
Seg 6	4923.09	40.33	2.20917	0.0511657	2.158	0	0.0231577	0.976842	0
Seg 7	4966.98	40.33	2.1974	0.039097	2.15831	0	0.0177901	0.98221	0
Seg 8	5010.64	40.33	2.18591	0.0273013	2.15861	0	0.0124881	0.987512	0
Seg 9	5054.07	40.33	2.1747	0.0157867	2.15891	0	0.00725834	0.992742	0
Seg 10	5097.29	40.33	2.16371	0.00450007	2.15921	0	0.00207953	0.99792	0
Seg 11	5140.4	40.33	2.15834	0	2.15834	0	0	1	0
Seg 12	5183.48	40.33	2.15669	0	2.15669	0	0	1	0
Seg 13	5226.52	40.33	2.15504	0	2.15504	0	0	1	0
Seg 14	5269.54	40.33	2.15339	0	2.15339	0	0	1	0
Seg 15	5313.3	40.33	2.15172	0	2.15172	0	0	1	0
Seg 16	4875.72	40.33	8.85963	0.25691	8.60272	0	0.0278664	0.972134	0
Seg 17	5048.23	40.33	8.67658	0.0690698	8.60751	0	0.00764156	0.992358	0
Seg 18	5177.66	40.33	7.38084	0	7.38084	0	0	1	0
Seg 19	5315.97	40.33	7.36271	0	7.36271	0	0	1	0
Seg 20	5048.24	40.33	1.22976	0.00978852	1.21998	0	0.0079579	0.992042	0
Seg 21	5073.97	40.33	1.22605	0.00597219	1.22008	0	0.00486999	0.99513	0
Seg 22	5099.63	40.33	1.22238	0.00220013	1.22018	0	0.00179947	0.998201	0
Seg 23	5125.24	40.33	1.22001	0	1.22001	0	0	1	0
Seg 24	5150.83	40.33	1.21945	0	1.21945	0	0	1	0
Seg 25	5176.41	40.33	1.2189	0	1.2189	0	0	1	0
Seg 26	5201.99	40.33	1.21834	0	1.21834	0	0	1	0
Seg 27	5227.55	40.33	1.21779	0	1.21779	0	0	1	0
Seg 28	5253.1	40.33	1.21723	0	1.21723	0	0	1	0
Seg 29	5278.63	40.33	1.21668	0	1.21668	0	0	1	0
Seg 30	5304.16	40.33	1.21613	0	1.21613	0	0	1	0
Seg 31	5329.68	40.33	1.21558	0	1.21558	0	0	1	0
Seg 32	5355.18	40.33	1.21503	0	1.21503	0	0	1	0
Seg 33	5380.67	40.33	1.21448	0	1.21448	0	0	1	0
Seg 34	5406.4	40.33	1.21392	0	1.21392	0	0	1	0


1.25793   	4700      	-         	3600.27   	3130.67   	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	4700	40.33	2.26134	0.115435	2.14591	0	0.051047	0.948953	0
Seg 1	4700	40.33	2.26614	0.115678	2.15046	0	0.0510403	0.94896	0
Seg 2	4744.88	40.33	2.25295	0.102184	2.15077	0	0.0453501	0.95465	0
Seg 3	4789.49	40.33	2.2401	0.0890178	2.15108	0	0.0397336	0.960266	0
Seg 4	4833.86	40.33	2.22755	0.0761666	2.15138	0	0.0341888	0.965811	0
Seg 5	4877.98	40.33	2.21531	0.0636181	2.15169	0	0.028714	0.971286	0
Seg 6	4921.87	40.33	2.20335	0.0513608	2.15199	0	0.0233074	0.976693	0
Seg 7	4965.52	40.33	2.19168	0.0393835	2.1523	0	0.0179673	0.982033	0
Seg 8	5008.95	40.33	2.18027	0.027676	2.1526	0	0.0126922	0.987308	0
Seg 9	5052.15	40.33	2.16914	0.0162459	2.1529	0	0.00748859	0.992511	0
Seg 10	5095.14	40.33	2.15824	0.00504241	2.15319	0	0.00233606	0.997664	0
Seg 11	5138.02	40.33	2.15243	0	2.15243	0	0	1	0
Seg 12	5180.86	40.33	2.1508	0	2.1508	0	0	1	0
Seg 13	5223.67	40.33	2.14916	0	2.14916	0	0	1	0
Seg 14	5266.44	40.33	2.14753	0	2.14753	0	0	1	0
Seg 15	5309.96	40.33	2.14586	0	2.14586	0	0	1	0
Seg 16	4874.81	40.33	8.83543	0.257203	8.57822	0	0.0279717	0.972028	0
Seg 17	5046.45	40.33	8.65371	0.0707464	8.58297	0	0.00784693	0.992153	0
Seg 18	5175.2	40.33	7.35967	0	7.35967	0	0	1	0
Seg 19	5312.79	40.33	7.34169	0	7.34169	0	0	1	0
Seg 20	5046.45	40.33	1.22702	0.0100302	1.21699	0	0.00817266	0.991827	0
