Results for well: PROD1 in the reservoir: RES1

  t       BHP	     q(Gas)       q(Oil)
(days)   (psia)    (MSCF/day)   (STB/day)
66793     1000        0           6691.77   
67095.1   1000        0           6695.48   
67394.4   1000        0           6699.26   
67689.4   1000        0           6703.13   
67984.7   1000        0           6706.79   
68283.7   1000        0           6710.43   
68588.1   1000        0           6714.13   
68889.9   1000        0           6717.91   
69187.8   1000        0           6721.89   
69485.9   1000        0           6725.65   
69787.7   1000        0           6729.36   
70094.8   1000        0           6733.19   
70399.6   1000        0           6737.05   
70703.6   1000        0           6741.07   
71006.4   1000        0           6744.82   
71312.4   1000        0           6748.44   
71623.7   1000        0           6752.26   
71932.8   1000        0           6756.05   
72241.3   1000        0           6760.02   
72551.7   1000        0           6763.8    
72863.7   1000        0           6767.46   
73180.8   1000        0           6771.3    
73495.9   1000        0           6775.27   
73810.2   1000        0           6779.37   
74126.6   1000        0           6783.32   
74444.5   1000        0           6787.15   
74767.1   1000        0           6791.06   
75088.3   1000        0           6795.04   
75411.9   1000        0           6799.21   
75737.1   1000        0           6803.08   
76065.7   1000        0           6806.92   
76397.1   1000        0           6810.86   
76733.2   1000        0           6814.92   
77069.1   1000        0           6819.08   
77405.7   1000        0           6823.09   
77746.3   1000        0           6827      
78089.3   1000        0           6830.94   
78436.9   1000        0           6835.03   
78787.7   1000        0           6839.16   
79140.5   1000        0           6843.17   
79493.9   1000        0           6847.16   
79853.3   1000        0           6851.36   
80213.3   1000        0           6855.56   
80573.3   1000        0           6859.84   
80933.3   1000        0           6864.05   
81293.1   1000        0           6868.1    
81653.1   1000        0           6872.11   
82013.1   1000        0           6876.06   
82373.1   1000        0           6880.01   
82733.1   1000        0           6883.73   
83093     1000        0           6887.63   
83453     1000        0           6891.53   
83813     1000        0           6895.6    
84173     1000        0           6899.55   
84533     1000        0           6903.27   
84893     1000        0           6906.89   
85250.9   1000        0           6910.37   
85610.9   1000        0           6914.41   
85970.9   1000        0           6918.24   
86330.2   1000        0           6922.05   
86687.1   1000        0           6925.64   
87039.8   1000        0           6929.19   
87391.1   1000        0           6933.01   
87744.8   1000        0           6936.59   
88101.9   1000        0           6939.98   
88456.6   1000        0           6943.4    
88809.5   1000        0           6947.25   
89160.6   1000        0           6950.89   
89504.1   1000        0           6954.41   
89837.6   1000        0           6957.95   
90165.3   1000        0           6961.18   
90502.1   1000        0           6964.43   
90840.6   1000        0           6968.06   
91175.2   1000        0           6971.45   
91501     1000        0           6974.73   
91821.3   1000        0           6978.15   
92134     1000        0           6981.26   
92441.4   1000        0           6984.3    
92742     1000        0           6987.77   
93035.8   1000        0           6990.59   
93332.6   1000        0           6993.83   
93627.3   1000        0           6996.81   
93915.2   1000        0           6999.81   
94198.5   1000        0           7003.08   
94473.2   1000        0           7005.96   
94746.6   1000        0           7009.21   
95016.5   1000        0           7011.9    
95280.8   1000        0           7014.97   
95537.5   1000        0           7017.82   
95786.5   1000        0           7020.76   
96024.9   1000        0           7023.44   
96262.6   1000        0           7026.37   
96496.3   1000        0           7029.12   
96727.7   1000        0           7031.97   
96956.4   1000        0           7034.83   
97190.5   1000        0           7037.81   
97420.6   1000        0           7040.57   
97653     1000        0           7043.78   
97888.8   1000        0           7046.39   
