Results for well: INJ in the reservoir: RES1

  t       BHP	     q(Gas)       q(Oil)
(days)   (psia)    (MSCF/day)   (STB/day)
96956.4   3500        -79159.329  0         
97190.5   3500        -79187.636  0         
97420.6   3500        -79218.638  0         
97653     3500        -79251.333  0         
97888.8   3500        -79278.727  0         
98118.8   3500        -79310.4    0         
98335.3   3500        -79345.481  0         
98532.8   3500        -79372.736  0         
98717.4   3500        -79402.157  0         
98895.8   3500        -79431.447  0         
99064.2   3500        -79456.439  0         
99225.8   3500        -79483.231  0         
99383.3   3500        -79507.386  0         
99534.5   3500        -79530.512  0         
99678.1   3500        -79550.51   0         
99818.7   3500        -79573.501  0         
99957     3500        -79601.189  0         
100089    3500        -79629.241  0         
100222    3500        -79651.071  0         
100357    3500        -79671.926  0         
100490    3500        -79694.833  0         
100619    3500        -79720.561  0         
100753    3500        -79752.76   0         
100876    3500        -79787.722  0         
101001    3500        -79824.091  0         
101124    3500        -79866.884  0         
101247    3500        -79924.05   0         
101370    3500        -79995.446  0         
101491    3500        -80076.747  0         
101621    3500        -80179.604  0         
101745    3500        -80287.935  0         
101873    3500        -80414.833  0         
102001    3500        -80554.898  0         
102127    3500        -80711.063  0         
102254    3500        -80885.386  0         
102402    3500        -81106.796  0         
102605    3500        -81436.671  0         
102840    3500        -81839.465  0         
103097    3500        -82282.509  0         
103368    3500        -82749.156  0         
103646    3500        -83215.487  0         
103928    3500        -83658.313  0         
104216    3500        -84085.437  0         
104506    3500        -84473.968  0         
104802    3500        -84847.347  0         
105095    3500        -85183.11   0         
105386    3500        -85478.616  0         
105677    3500        -85752.336  0         
105967    3500        -86004.8    0         
106265    3500        -86258.364  0         
106561    3500        -86489.606  0         
106852    3500        -86692.654  0         
107141    3500        -86878.828  0         
107424    3500        -87055.33   0         
107706    3500        -87226.661  0         
107999    3500        -87402.634  0         
108293    3500        -87564.133  0         
108579    3500        -87703.237  0         
108861    3500        -87832.957  0         
109141    3500        -87961.326  0         
109419    3500        -88079.069  0         
109692    3500        -88198.775  0         
109962    3500        -88312.914  0         
110232    3500        -88432.544  0         
110501    3500        -88568.159  0         
110768    3500        -88705.015  0         
111043    3500        -88864.086  0         
111324    3500        -89033.698  0         
111609    3500        -89207.785  0         
111899    3500        -89400.835  0         
112199    3500        -89609.389  0         
112504    3500        -89835.309  0         
112824    3500        -90113.488  0         
113180    3500        -90479.039  0         
113540    3500        -90898.791  0         
113900    3500        -91359.93   0         
114260    3500        -91895.062  0         
114620    3500        -92531.807  0         
114980    3500        -93222.852  0         
115340    3500        -93993.784  0         
115700    3500        -94856.995  0         
116060    3500        -95793.158  0         
116420    3500        -96780.858  0         
116780    3500        -97795.681  0         
117140    3500        -98831.684  0         
117500    3500        -99871.578  0         
117860    3500        -100887.5   0         
118220    3500        -101875.4   0         
118580    3500        -102837.12  0         
118940    3500        -103762.4   0         
119300    3500        -104633.42  0         
119660    3500        -105423.27  0         
120020    3500        -106124.52  0         
120380    3500        -106750.81  0         
120740    3500        -107323.81  0         
121100    3500        -107856.99  0         
121460    3500        -108333.46  0         
121820    3500        -108753.64  0         
122180    3500        -109140.46  0         
122540    3500        -109478.01  0         
122900    3500        -109771.01  0         
123260    3500        -110047.45  0         
123620    3500        -110296.23  0         
123980    3500        -110498.82  0         
124340    3500        -110687.29  0         
124700    3500        -110868.5   0         
125060    3500        -111030.59  0         
125420    3500        -111170.94  0         
125780    3500        -111317.36  0         
126140    3500        -111472.56  0         
126500    3500        -111604.88  0         
126860    3500        -111732.34  0         
127220    3500        -111859.44  0         
127580    3500        -111992.44  0         
127940    3500        -112110.11  0         
128300    3500        -112213.98  0         
128660    3500        -112315.64  0         
129020    3500        -112417.7   0         
129380    3500        -112521.2   0         
129740    3500        -112626.17  0         
130100    3500        -112741.82  0         
130460    3500        -112872.98  0         
130820    3500        -113005.4   0         
131180    3500        -113122.49  0         
131540    3500        -113232.73  0         
131900    3500        -113339.15  0         
132260    3500        -113443.34  0         
132620    3500        -113555.57  0         
132980    3500        -113675.04  0         
133340    3500        -113798.3   0         
133700    3500        -113912.88  0         
134060    3500        -114017.24  0         
134420    3500        -114120.95  0         
134780    3500        -114224.95  0         
135140    3500        -114345.17  0         
135500    3500        -114468.74  0         
135860    3500        -114593.95  0         
136220    3500        -114718.21  0         
136580    3500        -114836.23  0         
136940    3500        -114947.73  0         
137300    3500        -115068.45  0         
137660    3500        -115212.18  0         
138020    3500        -115357.18  0         
138380    3500        -115501.2   0         
138740    3500        -115630     0         
139100    3500        -115751.69  0         
139460    3500        -115869.84  0         
139820    3500        -116001.2   0         
140180    3500        -116137.39  0         
140540    3500        -116266.67  0         
140900    3500        -116397.52  0         
141260    3500        -116546.13  0         
141620    3500        -116706.29  0         
141980    3500        -116861.27  0         
142340    3500        -117012.9   0         
142700    3500        -117149.51  0         
143060    3500        -117286.73  0         
143420    3500        -117427.25  0         
143780    3500        -117566.55  0         
144140    3500        -117713.95  0         
144500    3500        -117877.94  0         
144860    3500        -118044.35  0         
145220    3500        -118191.62  0         
145580    3500        -118333.91  0         
145940    3500        -118483.99  0         
146300    3500        -118639.36  0         
146660    3500        -118800.15  0         
147020    3500        -118967.27  0         
147380    3500        -119122.45  0         
147740    3500        -119263.39  0         
148100    3500        -119413.8   0         
148460    3500        -119566.11  0         
148820    3500        -119726.69  0         
149180    3500        -119901.21  0         
149540    3500        -120070.42  0         
149900    3500        -120234.89  0         
150260    3500        -120386.59  0         
150620    3500        -120525.87  0         
150980    3500        -120669.81  0         
151340    3500        -120828.61  0         
151700    3500        -120984.66  0         
152060    3500        -121136.89  0         
152420    3500        -121302.85  0         
152780    3500        -121468.93  0         
153140    3500        -121621.51  0         
153500    3500        -121779.57  0         
153860    3500        -121944.37  0         
154220    3500        -122101.7   0         
154580    3500        -122244.01  0         
154940    3500        -122398.03  0         
155300    3500        -122560     0         
155660    3500        -122707.66  0         
156020    3500        -122856.37  0         
156380    3500        -123010.98  0         
156740    3500        -123160.46  0         
