Results for well: MSWell_2_Seg.out in the reservoir: MSWell_2_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d

0         	0         	-         	0         	0         	0         	
Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	5091.33	40.33	1.15111	1.43846e-013	6.72222e-014	1.15111	1.24963e-013	5.83977e-014	1
Seg 1	5091.34	40.33	1.15111	1.62909e-013	4.08956e-014	1.15111	1.41524e-013	3.55271e-014	1
Seg 2	5115.92	40.33	1.15111	1.2543e-013	4.35794e-014	1.15111	1.08965e-013	3.78586e-014	1
Seg 3	5140.5	40.33	1.15111	1.21155e-013	9.20152e-015	1.15111	1.05251e-013	7.99361e-015	1
Seg 4	5165.08	40.33	1.15111	1.10377e-013	-1.23965e-014	1.15111	9.5887e-014	-1.07692e-014	1
Seg 5	5189.67	40.33	1.15111	8.54065e-014	-1.73806e-014	1.15111	7.41949e-014	-1.5099e-014	1
Seg 6	5214.25	40.33	1.15111	4.34215e-014	-3.96177e-015	1.15111	3.77214e-014	-3.44169e-015	1
Seg 7	5238.83	40.33	1.15111	4.58259e-014	-1.89142e-014	1.15111	3.98102e-014	-1.64313e-014	1
Seg 8	5263.41	40.33	1.15111	5.06417e-014	-3.66783e-014	1.15111	4.39938e-014	-3.18634e-014	1
Seg 9	5287.99	40.33	1.15111	2.97997e-014	-1.34189e-014	1.15111	2.58878e-014	-1.16573e-014	1
Seg 10	5312.57	40.33	1.15111	2.28443e-014	-1.40579e-014	1.15111	1.98454e-014	-1.22125e-014	1
Seg 11	5337.15	40.33	1.15111	1.31198e-014	-1.53359e-015	1.15111	1.13975e-014	-1.33227e-015	1
Seg 12	5361.74	40.33	1.15111	8.69182e-016	3.70617e-015	1.15111	7.55082e-016	3.21965e-015	1
Seg 13	5386.32	40.33	1.15111	2.99659e-015	-1.78918e-015	1.15111	2.60322e-015	-1.55431e-015	1
Seg 14	5410.9	40.33	1.15111	8.39324e-015	-7.79573e-015	1.15111	7.29143e-015	-6.77236e-015	1
Seg 15	5435.87	40.33	1.15111	0	1.66139e-015	1.15111	0	1.44329e-015	1



6.22456   	5089.51   	-         	4.79289e-009	1.32397e-010	1000      	
Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	5089.51	40.33	1.15111	1.25703e-013	-6.95226e-014	1.15111	1.09201e-013	-6.03961e-014	1
Seg 1	5089.51	40.33	1.15111	1.61054e-013	-1.13613e-013	1.15111	1.39912e-013	-9.86988e-014	1
Seg 2	5114.09	40.33	1.15111	1.33788e-013	-9.4699e-014	1.15111	1.16226e-013	-8.22675e-014	1
Seg 3	5138.68	40.33	1.15111	9.06416e-014	-7.71905e-014	1.15111	7.87428e-014	-6.70575e-014	1
Seg 4	5163.26	40.33	1.15111	0	0	1.15111	0	0	1
Seg 5	5187.84	40.33	1.15111	2.67124e-014	-2.671e-014	1.15111	2.32058e-014	-2.32037e-014	1
Seg 6	5212.42	40.33	1.15111	2.19042e-014	-2.18536e-014	1.15111	1.90287e-014	-1.89848e-014	1
Seg 7	5237	40.33	1.15111	3.18945e-014	-3.19497e-014	1.15111	2.77076e-014	-2.77556e-014	1
Seg 8	5261.58	40.33	1.15111	0	0	1.15111	0	0	1
Seg 9	5286.16	40.33	1.15111	4.03746e-014	-4.03844e-014	1.15111	3.50745e-014	-3.5083e-014	1
Seg 10	5310.75	40.33	1.15111	5.24489e-014	-5.23975e-014	1.15111	4.55638e-014	-4.55191e-014	1
Seg 11	5335.33	40.33	1.15111	5.74557e-014	-4.94582e-014	1.15111	4.99133e-014	-4.29656e-014	1
