Results for well: MSWell_1_Seg.out in the reservoir: MSWell_1_Seg.out

t	BHP	q(Gas)	q(Oil)
days	psi	Mscf/d	stb/d

0         	0         	-         	0         	0         	
Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 35	4895.15	40.33	1.92428	0.0299273	1.89435	0	0.0130838	0.986916	0
Seg 36	4900.8	40.33	1.92268	0.0285209	1.89416	0	0.0124773	0.987523	0
Seg 37	4906.46	40.33	1.9211	0.0271131	1.89399	0	0.0118694	0.988131	0
Seg 38	4912.12	40.33	1.91952	0.0257037	1.89381	0	0.0112599	0.98874	0
Seg 39	4917.78	40.33	1.91794	0.0242929	1.89365	0	0.010649	0.989351	0
Seg 40	4923.45	40.33	1.91637	0.0228806	1.89349	0	0.0100365	0.989964	0
Seg 41	4929.11	40.33	1.9148	0.0214667	1.89334	0	0.00942254	0.990577	0
Seg 42	4934.78	40.33	1.91324	0.0200513	1.89319	0	0.00880707	0.991193	0
Seg 43	4940.46	40.33	1.91168	0.0186343	1.89305	0	0.00819008	0.99181	0
Seg 44	4946.13	40.33	1.91013	0.0172157	1.89292	0	0.00757155	0.992428	0
Seg 45	4951.81	40.33	1.90858	0.0157955	1.89279	0	0.0069515	0.993049	0
Seg 46	4957.49	40.33	1.90704	0.0143737	1.89267	0	0.00632989	0.99367	0
Seg 47	4963.18	40.33	1.9055	0.0129503	1.89255	0	0.00570674	0.994293	0
Seg 48	4968.86	40.33	1.90397	0.0115251	1.89245	0	0.00508203	0.994918	0
Seg 49	4974.55	40.33	1.90244	0.0100983	1.89234	0	0.00445576	0.995544	0
Seg 50	4980.24	40.33	1.90092	0.0086698	1.89225	0	0.00382791	0.996172	0
Seg 51	4985.94	40.33	1.8994	0.00723955	1.89216	0	0.00319848	0.996802	0
Seg 52	4991.64	40.33	1.89788	0.00580756	1.89208	0	0.00256746	0.997433	0
Seg 53	4997.34	40.33	1.89638	0.00437379	1.892	0	0.00193484	0.998065	0
Seg 54	5003.04	40.33	1.89487	0.00293825	1.89193	0	0.00130063	0.998699	0
Seg 55	5008.75	40.33	1.89337	0.00150089	1.89187	0	0.000664799	0.999335	0
Seg 56	5014.45	40.33	1.89187	6.17158e-005	1.89181	0	2.73535e-005	0.999973	0
Seg 57	5020.16	40.33	1.89155	0	1.89155	0	0	1	0
Seg 58	5025.87	40.33	1.89127	0	1.89127	0	0	1	0
Seg 59	5031.58	40.33	1.891	0	1.891	0	0	1	0
Seg 60	5037.29	40.33	1.89072	0	1.89072	0	0	1	0
Seg 61	5043	40.33	1.89045	0	1.89045	0	0	1	0
Seg 62	5048.71	40.33	1.89018	0	1.89018	0	0	1	0
Seg 63	5054.42	40.33	1.8899	0	1.8899	0	0	1	0
Seg 64	5060.14	40.33	1.88963	0	1.88963	0	0	1	0
Seg 65	5065.85	40.33	1.88936	0	1.88936	0	0	1	0
