 % Reservoir Output 
 % Unit for Total Component: B.O. ~ lb/day || Compositional ~ mol/day 

time	pres	temp	comp0	comp1	comp2	min0	min1	min2	
day	psi	F	**	**	**	
        55	   387.588	       573	52.1556	8.70258e-021	3.48961e-006	0.0799514	2.47403e-022	1.21515e-006	
        56	   387.588	       573	52.1556	6.80293e-021	2.79669e-006	0.0799514	1.98481e-022	9.74135e-007	
        57	   387.588	       573	52.1556	5.23483e-021	2.24135e-006	0.0799514	1.59231e-022	7.80921e-007	
        58	   387.588	       573	52.1556	3.96236e-021	1.79628e-006	0.0799514	1.27738e-022	6.2603e-007	
        59	   387.588	       573	52.1556	2.95164e-021	1.43958e-006	0.0799514	1.02469e-022	5.01861e-007	
        60	   387.588	       573	52.1556	2.16855e-021	1.15372e-006	0.0799514	8.21936e-023	4.0232e-007	
        61	   387.588	       573	52.1556	1.57576e-021	9.24619e-007	0.0799514	6.59245e-023	3.22522e-007	
        62	   387.588	       573	52.1556	1.13719e-021	7.41013e-007	0.0799514	5.2871e-023	2.58552e-007	
        63	   387.588	       573	52.1556	8.19102e-022	5.93866e-007	0.0799514	4.23985e-023	2.0727e-007	
        64	   387.588	       573	52.1556	5.91912e-022	4.75939e-007	0.0799514	3.39975e-023	1.66159e-007	
        65	   387.588	       573	52.1556	4.30944e-022	3.8143e-007	0.0799514	2.72591e-023	1.33202e-007	
        66	   387.588	       573	52.1556	3.17499e-022	3.05687e-007	0.0799514	2.18549e-023	1.06782e-007	
        67	   387.588	       573	52.1556	2.37117e-022	2.44985e-007	0.0799514	1.75211e-023	8.56025e-008	
        68	   387.588	       573	52.1556	1.79628e-022	1.96337e-007	0.0799514	1.40461e-023	6.86237e-008	
        69	   387.588	       573	52.1557	1.37972e-022	1.5735e-007	0.0799514	1.126e-023	5.50125e-008	
        70	   387.588	       573	52.1557	1.07225e-022	1.26104e-007	0.0799514	9.02625e-024	4.41011e-008	
        71	   387.588	       573	52.1557	8.40921e-023	1.01063e-007	0.0799514	7.23554e-024	3.53538e-008	
        72	   387.588	       573	52.1557	6.64348e-023	8.09942e-008	0.0799514	5.80002e-024	2.83416e-008	
        73	   387.588	       573	52.1557	5.27475e-023	6.49107e-008	0.0799514	4.64927e-024	2.27202e-008	
        74	   387.588	       573	52.1557	4.2033e-023	5.20211e-008	0.0799514	3.72681e-024	1.82137e-008	
        75	   387.588	       573	52.1557	3.35751e-023	4.1691e-008	0.0799514	2.98737e-024	1.46011e-008	
        76	   387.588	       573	52.1557	2.68593e-023	3.34122e-008	0.0799514	2.39464e-024	1.1705e-008	
        77	   387.588	       573	52.1557	2.1499e-023	2.67773e-008	0.0799514	1.91951e-024	9.3834e-009	
        78	   387.588	       573	52.1557	1.72199e-023	2.146e-008	0.0799514	1.53865e-024	7.52224e-009	
        79	   387.588	       573	52.1557	1.37966e-023	1.71986e-008	0.0799514	1.23336e-024	6.03023e-009	
        80	   387.588	       573	52.1557	1.10567e-023	1.37834e-008	0.0799514	9.88643e-025	4.83416e-009	
        81	   387.588	       573	52.1557	8.85712e-024	1.10463e-008	0.0799514	7.92481e-025	3.87532e-009	
        82	   387.588	       573	52.1557	7.09493e-024	8.85281e-009	0.0799514	6.35241e-025	3.10667e-009	
