 % Reservoir Output 
 % Unit for Total Component: B.O. ~ lb/day || Compositional ~ mol/day 

time	pres	temp	comp0	comp1	comp2	comp3	comp4	comp5	comp6	comp7	comp8	comp9	comp10	comp11	comp12	min0	min1	min2	min3	min4	min5	min6	min7	
day	psi	F	**	**	**	**	**	**	**	**	**	**	**	**	**	
   1.61902	   501.567	       582	15.5811	32817.7	0.00188516	0.000126265	0.167572	0.279858	5.84774	14.9199	1.55293	1.33756	0.000130937	1.37408e-005	4.39308e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
   1.73685	   501.936	       582	16.0885	32809.8	0.00186864	0.000118192	0.168103	0.279786	5.84633	14.9185	1.55321	1.34407	0.000130894	1.37258e-005	4.51035e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
   1.83004	   501.933	       582	16.5463	32803.5	0.0018654	0.000110781	0.168525	0.279728	5.84522	14.9174	1.55344	1.34926	0.000130869	1.37156e-005	4.56507e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
   1.92483	   501.869	       582	17.0714	32797.1	0.00187052	0.000103453	0.168957	0.279669	5.84409	14.9163	1.55367	1.35456	0.000130846	1.37059e-005	4.5889e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
   2.02769	   501.795	       582	17.7034	32790.2	0.00188365	9.69444e-005	0.169427	0.279607	5.84286	14.9151	1.55392	1.36033	0.000130824	1.36959e-005	4.58864e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
   2.14128	   501.727	       582	18.4685	32782.6	0.00190509	9.23571e-005	0.169946	0.279541	5.8415	14.9138	1.55419	1.36673	0.000130803	1.36854e-005	4.56792e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
   2.26703	    501.67	       582	19.3883	32774.1	0.00193432	9.07312e-005	0.170593	0.279471	5.84	14.9127	1.5546	1.37481	0.000130934	1.3682e-005	4.52837e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
   2.40567	   501.849	       582	20.3518	32764.8	0.00195746	9.08491e-005	0.171306	0.279397	5.83835	14.9114	1.55505	1.38374	0.000131	1.36729e-005	4.51395e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
   2.56926	   502.591	       582	21.0572	32753.7	0.00193893	8.43132e-005	0.172155	0.279302	5.83638	14.9099	1.55559	1.3943	0.000130925	1.3652e-005	4.63412e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
   2.67529	    502.59	       582	21.5729	32746.5	0.00193632	7.91436e-005	0.172708	0.279239	5.8351	14.909	1.55594	1.40118	0.000130909	1.3642e-005	4.67084e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
   2.78065	   502.498	       582	22.1501	32739.4	0.00194181	7.44832e-005	0.173257	0.279178	5.83384	14.908	1.55628	1.40803	0.000130896	1.36325e-005	4.68363e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
   2.89602	   502.393	       582	22.8504	32731.6	0.00195508	7.09658e-005	0.173859	0.279112	5.83245	14.907	1.55666	1.41556	0.000130882	1.36224e-005	4.68445e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
   3.02593	   502.297	       582	23.713	32722.8	0.00197596	6.95653e-005	0.174606	0.279041	5.83089	14.9062	1.55719	1.42502	0.000131026	1.36193e-005	4.67519e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
   3.17311	   502.216	       582	24.7737	32712.8	0.00200564	7.12791e-005	0.175444	0.278963	5.82913	14.9052	1.55779	1.43574	0.000131154	1.36135e-005	4.65763e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
   3.33947	   502.913	       582	25.6476	32701.5	0.00200395	6.97392e-005	0.176397	0.278872	5.82712	14.9042	1.55848	1.4479	0.000131119	1.35956e-005	4.72396e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
   3.48181	   503.245	       582	26.3012	32691.8	0.00199686	6.51866e-005	0.177215	0.278791	5.8254	14.9033	1.55906	1.45833	0.000131078	1.35803e-005	4.78481e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
    3.5948	   503.171	       582	26.8828	32684.1	0.00199948	6.15163e-005	0.177865	0.278726	5.82403	14.9026	1.55953	1.46664	0.000131064	1.35701e-005	4.80533e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
