Results for well: MSWell_1_Seg.out in the reservoir: MSWell_1_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 84	2289.64	124.578	1.90033	0.301654	0.0406231	1.55805	0.121301	0.0223282	0.856371
Seg 85	2316.25	121.702	1.89833	0.299057	0.0407328	1.55853	0.120472	0.0224012	0.857126
Seg 86	2342.88	118.998	1.89639	0.296444	0.0408503	1.5591	0.119632	0.0224778	0.85789
Seg 87	2369.54	116.454	1.89453	0.293811	0.0409761	1.55974	0.118779	0.022558	0.858663
Seg 88	2396.22	114.063	1.89274	0.291157	0.0411106	1.56047	0.117912	0.0226421	0.859446
Seg 89	2422.92	111.816	1.89101	0.288477	0.0412541	1.56128	0.11703	0.0227303	0.86024
Seg 90	2449.65	109.706	1.88936	0.285771	0.0414071	1.56218	0.116133	0.0228228	0.861045
Seg 91	2457.22	107.761	1.89009	0.285237	0.0415979	1.56325	0.115912	0.0229157	0.861173


0.00714767	128       	-         	544.938   	107.163   	3957.53   	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	128	-1689.51	6.44078	4.58341	0.0469799	1.81039	0.711623	0.00729413	0.281082
Seg 1	128.01	-1683.35	6.44044	4.58433	0.046951	1.80916	0.711741	0.00729161	0.280968
Seg 2	153.216	-1683.35	5.70927	3.85333	0.046928	1.80901	0.596074	0.0102134	0.393713
Seg 3	177.947	-1633.36	5.18667	3.33891	0.0467247	1.80103	0.558514	0.011164	0.430322
Seg 4	202.307	-1580.29	4.79289	2.95303	0.0465301	1.79333	0.528094	0.0119345	0.459972
Seg 5	226.442	-1525.2	4.48363	2.65143	0.0463429	1.78586	0.501413	0.012611	0.485976
Seg 6	250.451	-1468.75	4.23324	2.40843	0.0461633	1.77865	0.477697	0.013213	0.50909
Seg 7	274.396	-1411.49	4.02571	2.20803	0.0459912	1.77169	0.456421	0.0137537	0.529826
Seg 8	298.32	-1353.89	3.85049	2.03967	0.0458264	1.76499	0.437192	0.014243	0.548565
Seg 9	322.252	-1296.3	3.70031	1.89611	0.0456689	1.75853	0.419707	0.0146887	0.565605
Seg 10	346.213	-1239.06	3.56998	1.77214	0.0455182	1.75232	0.403723	0.0150967	0.58118
Seg 11	370.217	-1182.43	3.45568	1.66396	0.0453742	1.74635	0.389045	0.015472	0.595483
Seg 12	394.273	-1126.61	3.35453	1.56869	0.0452366	1.7406	0.375512	0.0158188	0.608669
Seg 13	418.388	-1071.81	3.26431	1.48414	0.0451051	1.73506	0.362989	0.0161403	0.62087
Seg 14	442.566	-1018.16	3.1833	1.40858	0.0449794	1.72974	0.351364	0.0164394	0.632196
Seg 15	466.81	-965.788	3.1101	1.34064	0.0448593	1.72461	0.340541	0.0167185	0.64274
Seg 16	491.121	-914.792	3.04362	1.27921	0.0447446	1.71967	0.330438	0.0169798	0.652583
Seg 17	515.5	-865.248	2.98294	1.2234	0.0446349	1.7149	0.320982	0.0172249	0.661793
Seg 18	539.947	-817.214	2.92731	1.17247	0.0445301	1.71031	0.312111	0.0174555	0.670433
Seg 19	564.462	-770.746	2.87611	1.12577	0.0444306	1.70591	0.303766	0.0176732	0.678561
Seg 20	589.044	-725.869	2.82882	1.08279	0.0443362	1.70169	0.295897	0.017879	0.686224
