Results of block pressure and saturations for reservoir: RES1

BlockNo        P 	     Sg           So
t=0       (days)
54          4380.01     0               1               
55          4716.55     0               1               
56          5035.26     0               1               
57          5307.2      0.0250348       0.974965        
58          5511.25     0.264472        0.735528        
59          5626.98     0.414809        0.585191        
60          3157.23     0               1               
61          3405.62     0               1               
62          3721.01     0               1               
63          4052.9      0               1               
64          4390.42     0               1               
65          4730.57     0               1               
66          5054.8      0               1               
67          5329.14     0.207021        0.792979        
68          5529.44     0.371455        0.628545        
69          5648.77     0.514206        0.485794        
70          3192.47     0               1               
71          3423.95     0               1               
72          3732.45     0               1               
73          4062.64     0               1               
74          4400.77     0               1               
75          4745.12     0               1               
76          5076.06     0.098841        0.901159        
77          5345.21     0.311937        0.688063        
78          5546.41     0.455076        0.544924        
79          5671.35     0.618609        0.381391        
80          3218.51     0               1               
81          3439.26     0               1               
82          3743.1      0               1               
83          4072.13     0               1               
84          4410.86     0               1               
85          4760.04     0               1               
86          5093.4      0.229626        0.770374        
87          5358.53     0.387122        0.612878        
88          5562.36     0.53895         0.46105         
89          5693.31     0.736632        0.263368        
90          3235.76     0               1               
91          3451.31     0               1               
92          3752.8      0               1               
93          4081.26     0               1               
94          4420.35     0               1               
95          4774.51     0.0950209       0.904979        
96          5105.43     0.31049         0.68951         
97          5369.8      0.455728        0.544272        
98          5576.02     0.63232         0.36768         
99          5712.84     0.946439        0.0535612       
t=75.33   (days)
0           3063.76     0               1               
1           3734.43     0               1               
2           4143.72     0               1               
3           4481.84     0               1               
4           4774.13     0               1               
5           5026.13     0               1               
6           5238.9      0               1               
7           5410.37     0               1               
8           5537.94     0               1               
9           5609.87     0               1               
10          3199.09     0               1               
11          3753.65     0               1               
12          4155.32     0               1               
13          4492.4      0               1               
14          4784.47     0               1               
15          5036.42     0               1               
16          5249.26     0               1               
17          5420.83     0               1               
18          5548.87     0               1               
19          5621.47     0.0474317       0.952568        
20          3312.5      0               1               
21          3779.08     0               1               
22          4169.56     0               1               
23          4504.82     0               1               
24          4796.44     0               1               
25          5048.29     0               1               
26          5261.28     0               1               
27          5433.01     0.000666733     0.999333        
28          5562.02     0.159884        0.840116        
29          5634.22     0.318077        0.681923        
30          3407.43     0               1               
31          3807.64     0               1               
32          4186.07     0               1               
33          4519.03     0               1               
34          4810.02     0               1               
35          5061.69     0               1               
36          5274.85     0.0556061       0.944394        
37          5446.35     0.250923        0.749077        
38          5573.98     0.362341        0.637659        
39          5647.74     0.447856        0.552144        
40          3486.48     0               1               
41          3837.14     0               1               
42          4204.44     0               1               
43          4534.91     0               1               
44          4825.11     0               1               
45          5076.56     0.10905         0.89095         
46          5287.3      0.286454        0.713546        
47          5457.96     0.378673        0.621327        
48          5586.27     0.455476        0.544524        
49          5662.66     0.541469        0.458531        
50          3551.58     0               1               
51          3866.01     0               1               
52          4224.27     0               1               
53          4552.27     0               1               
54          4841.68     0.135744        0.864256        
55          5088.63     0.295621        0.704379        
56          5298.31     0.379036        0.620964        
57          5469.44     0.450377        0.549623        
58          5599.14     0.528782        0.471218        
59          5678.77     0.629642        0.370358        
60          3604.14     0               1               
61          3893.1      0               1               
62          4245.14     0               1               
63          4571.1      0.12549         0.87451         
64          4854.33     0.287072        0.712928        
65          5099.13     0.370092        0.629908        
66          5309        0.437811        0.562189        
67          5481.05     0.509389        0.490611        
68          5612.37     0.600531        0.399469        
69          5695.63     0.71705         0.28295         
70          3645.13     0               1               
71          3917.51     0               1               
72          4266.9      0.0718343       0.928166        
73          4585.4      0.264932        0.735068        
74          4864.98     0.352667        0.647333        
75          5109.1      0.419559        0.580441        
76          5319.63     0.486607        0.513393        
77          5492.78     0.568316        0.431684        
78          5625        0.670411        0.329589        
79          5713.19     0.828105        0.171895        
80          3675.16     0               1               
81          3938.63     0               1               
82          4285.21     0.209856        0.790144        
83          4596.77     0.325743        0.674257        
84          4874.83     0.39738         0.60262         
