Results for well: PROD_Seg.out in the reservoir: PROD_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	X[0]	X[1]	X[2]	X[3]	X[4]	
0.952145 0.0394481 0.00244213 0.00596468 0 0.0803985 0.165511 0.215452 0.538639 0 0.951874 0.0395954 0.00247831 0.00605236 0 0.0811281 0.16538 0.215281 0.538211 0 0.951605 0.0397408 0.00251452 0.00614012 0 0.0818569 0.165251 0.215109 0.537783 0 0.951339 0.0398829 0.00255061 0.00622753 0 0.0825866 0.165124 0.214937 0.537353 0 0.95108 0.0400197 0.00258636 0.00631411 0 0.0833188 0.164999 0.214763 0.536919 0 0.95083 0.0401494 0.00262154 0.00639928 0 0.0840554 0.164877 0.214587 0.53648 0 0.950592 0.0402696 0.0026559 0.00648239 0 0.0847983 0.164758 0.214409 0.536035 0 0.95037 0.0403779 0.00268911 0.00656268 0 0.0855496 0.164643 0.214227 0.535581 0 0.950169 0.0404714 0.00272082 0.00663926 0 0.0863114 0.164531 0.214041 0.535117 0 0.949991 0.040547 0.00275063 0.00671113 0 0.0870863 0.164424 0.21385 0.53464 0 0.949918 0.0405379 0.00277486 0.00676905 0 0.0880718 0.164309 0.213601 0.534019 0 0.949747 0.0405979 0.00280748 0.00684749 0 0.0890426 0.164191 0.213357 0.533409 0 0.949606 0.040636 0.00283776 0.00692016 0 0.0900398 0.164081 0.213104 0.532776 0 0.949503 0.0406468 0.00286503 0.00698539 0 0.0910694 0.163976 0.212839 0.532115 0 0.949446 0.0406244 0.00288853 0.0070413 0 0.0921378 0.163879 0.212561 0.531422 0 0.949445 0.0405621 0.00290741 0.00708582 0 0.0932524 0.163789 0.212269 0.53069 0 0.94951 0.0404529 0.00292075 0.00711672 0 0.0944213 0.163707 0.211958 0.529914 0 0.949651 0.0402892 0.00292762 0.00713167 0 0.0956536 0.163631 0.211628 0.529088 0 0.949881 0.0400635 0.00292705 0.00712833 0 0.0969595 0.163561 0.211275 0.528205 0 0.950209 0.0397682 0.00291815 0.00710447 0 0.0983503 0.163494 0.210897 0.52726 0 0.950372 0.0396293 0.00291159 0.0070875 0 0.0989865 0.163511 0.21071 0.526793 0 0.950575 0.039459 0.0029022 0.00706353 0 0.0996608 0.163507 0.210519 0.526314 0 0.950786 0.0392829 0.00289254 0.00703888 0 0.100366 0.1635 0.210319 0.525815 0 0.951004 0.0391003 0.00288261 0.00701352 0 0.101106 0.16349 0.210111 0.525293 0 0.000397924	300       	110.866   	22.3249   	1743.54   	4.35581e-005	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	X[0]	X[1]	X[2]	X[3]	X[4]	
Seg 0	300	110.866	6.41099	4.45675	1.95424	4.88437e-008	0.695173	0.304827	7.61874e-009		0.947681	0.0427032	0.00279198	0.00682352	0	0.0791717	0.165522	0.215798	0.539508	0	
Seg 1	304.492	111.52	6.3251	4.36173	1.96337	5.05979e-008	0.689591	0.310409	7.99955e-009		0.947729	0.0425984	0.00280883	0.00686333	0	0.0802247	0.165419	0.215526	0.53883	0	
Seg 2	308.99	112.153	6.24231	4.26926	1.97305	5.24346e-008	0.683923	0.316077	8.39987e-009		0.947785	0.0424891	0.00282486	0.00690111	0	0.0812798	0.165316	0.215254	0.53815	0	
Seg 3	313.494	112.763	6.16245	4.17915	1.98331	5.43571e-008	0.678163	0.321837	8.82069e-009		0.947849	0.0423743	0.00283995	0.00693657	0	0.082338	0.165213	0.214981	0.537468	0	
Seg 4	318.007	113.349	6.08536	4.09123	1.99413	5.6369e-008	0.672307	0.327693	9.26305e-009		0.947923	0.0422532	0.00285401	0.00696947	0	0.0834001	0.165111	0.214707	0.536782	0	
Seg 5	322.532	113.91	6.01086	4.00534	2.00552	5.8474e-008	0.666351	0.333649	9.72805e-009		0.948009	0.0421248	0.00286691	0.00699954	0	0.0844671	0.165009	0.214431	0.536093	0	
Seg 6	327.071	114.444	5.93882	3.92134	2.01748	6.06757e-008	0.660289	0.339711	1.02168e-008		0.948107	0.0419883	0.00287857	0.00702653	0	0.0855398	0.164908	0.214153	0.535399	0	
