Results for well: INJ in the reservoir: RES1

  t       BHP	     g(Oil)    q(Water)
(days)   (psia)    STB/day)  (STB/day)
459.64    74412.5     0           -6000     
461.769   74564.2     0           -6000     
463.888   74714.7     0           -6000     
466.043   74867.3     0           -6000     
468.192   75018.9     0           -6000     
470.325   75168.9     0           -6000     
472.491   75320.8     0           -6000     
474.66    75472.3     0           -6000     
476.808   75621.9     0           -6000     
478.986   75773.1     0           -6000     
481.173   75924.3     0           -6000     
483.336   76073.5     0           -6000     
485.529   76224.1     0           -6000     
487.735   76375.2     0           -6000     
489.914   76524       0           -6000     
492.123   76674.3     0           -6000     
494.348   76825.1     0           -6000     
496.545   76973.5     0           -6000     
498.772   77123.4     0           -6000     
501.015   77273.9     0           -6000     
503.231   77422.1     0           -6000     
505.478   77571.8     0           -6000     
507.74    77722       0           -6000     
509.977   77870.1     0           -6000     
512.245   78019.7     0           -6000     
514.526   78169.6     0           -6000     
516.785   78317.6     0           -6000     
519.078   78467.3     0           -6000     
521.377   78616.9     0           -6000     
523.657   78764.7     0           -6000     
525.979   78914.7     0           -6000     
528.297   79064       0           -6000     
530.606   79212.1     0           -6000     
532.956   79362.4     0           -6000     
535.291   79511.1     0           -6000     
537.635   79659.9     0           -6000     
540.011   79810.1     0           -6000     
542.361   79958.1     0           -6000     
544.744   80107.7     0           -6000     
547.146   80257.9     0           -6000     
549.511   80405.3     0           -6000     
551.909   80554.2     0           -6000     
554.326   80703.7     0           -6000     
556.706   80850.5     0           -6000     
559.122   80998.8     0           -6000     
561.549   81147.4     0           -6000     
563.951   81293.8     0           -6000     
566.398   81442.5     0           -6000     
568.839   81590.2     0           -6000     
571.285   81737.7     0           -6000     
573.77    81886.9     0           -6000     
576.224   82033.6     0           -6000     
578.72    82182.3     0           -6000     
581.23    82331.2     0           -6000     
583.7     82477.2     0           -6000     
586.209   82624.8     0           -6000     
588.726   82772.4     0           -6000     
591.221   82918.2     0           -6000     
593.77    83066.4     0           -6000     
596.297   83212.8     0           -6000     
598.858   83360.6     0           -6000     
601.439   83508.9     0           -6000     
603.979   83654.3     0           -6000     
606.562   83801.5     0           -6000     
609.15    83948.4     0           -6000     
611.723   84093.9     0           -6000     
614.348   84241.6     0           -6000     
616.942   84387       0           -6000     
619.583   84534.4     0           -6000     
622.235   84681.7     0           -6000     
624.84    84825.8     0           -6000     
627.503   84972.5     0           -6000     
630.152   85117.7     0           -6000     
632.835   85264.2     0           -6000     
635.539   85411.1     0           -6000     
638.199   85555       0           -6000     
640.91    85701.1     0           -6000     
643.613   85846       0           -6000     
646.34    85991.6     0           -6000     
649.095   86138       0           -6000     
651.806   86281.4     0           -6000     
654.572   86427       0           -6000     
657.324   86571.3     0           -6000     
660.111   86716.6     0           -6000     
662.919   86862.3     0           -6000     
665.672   87004.5     0           -6000     
668.499   87149.9     0           -6000     
671.298   87293.1     0           -6000     
674.159   87438.7     0           -6000     
677.016   87583.5     0           -6000     
679.85    87726.4     0           -6000     
682.739   87871.3     0           -6000     
685.584   88013.3     0           -6000     
688.493   88157.8     0           -6000     
691.382   88300.7     0           -6000     
694.314   88444.8     0           -6000     
697.256   88588.8     0           -6000     
700.164   88730.4     0           -6000     
703.135   88874.3     0           -6000     
706.057   89015       0           -6000     
709.055   89158.7     0           -6000     
712.023   89300.2     0           -6000     
715.06    89444.2     0           -6000     
718.083   89586.8     0           -6000     
721.1     89728.3     0           -6000     
724.156   89871       0           -6000     
727.161   90010.5     0           -6000     
730.244   90152.9     0           -6000     
733.273   90292       0           -6000     
736.39    90434.5     0           -6000     
739.466   90574.2     0           -6000     
742.619   90716.7     0           -6000     
745.743   90857.1     0           -6000     
748.914   90998.7     0           -6000     
752.079   91139.3     0           -6000     
755.247   91279.2     0           -6000     
758.443   91419.6     0           -6000     
761.612   91558       0           -6000     
764.838   91698.1     0           -6000     
768.015   91835.3     0           -6000     
771.27    91975.2     0           -6000     
774.453   92111.1     0           -6000     
777.737   92250.6     0           -6000     
780.949   92386.3     0           -6000     
784.275   92525.9     0           -6000     
787.528   92661.6     0           -6000     
790.888   92801       0           -6000     
794.175   92936.5     0           -6000     
797.568   93075.6     0           -6000     
800.887   93210.8     0           -6000     
804.312   93349.5     0           -6000     
807.659   93484.2     0           -6000     
811.115   93622.5     0           -6000     
814.487   93756.6     0           -6000     
817.972   93894.3     0           -6000     
821.365   94027.7     0           -6000     
824.878   94164.9     0           -6000     
828.295   94297.5     0           -6000     
831.831   94434       0           -6000     
835.277   94566.1     0           -6000     
838.827   94701.3     0           -6000     
842.308   94833.1     0           -6000     
845.876   94967.4     0           -6000     
849.414   95099.7     0           -6000     
853.009   95233.2     0           -6000     
856.61    95366.2     0           -6000     
860.23    95499       0           -6000     
863.901   95632.8     0           -6000     
867.537   95764.5     0           -6000     
871.283   95899.3     0           -6000     
874.92    96029.3     0           -6000     
878.683   96162.9     0           -6000     
882.335   96291.8     0           -6000     
886.087   96423.3     0           -6000     
889.813   96553.1     0           -6000     
893.575   96683.2     0           -6000     
897.392   96814.4     0           -6000     
900       96903.7     0           -6000     
