Results for well: PROD in the reservoir: RES1

  t       BHP	     g(Oil)    q(Water)
(days)   (psia)    STB/day)  (STB/day)
485.529   1000        2237.99     0         
487.735   1000        2265.18     0         
489.914   1000        2292        0         
492.123   1000        2319.14     0         
494.348   1000        2346.4      0         
496.545   1000        2373.27     0         
498.772   1000        2400.41     0         
501.015   1000        2427.66     0         
503.231   1000        2454.48     0         
505.478   1000        2481.52     0         
507.74    1000        2508.63     0         
509.977   1000        2535.27     0         
512.245   1000        2562.14     0         
514.526   1000        2589        0         
516.785   1000        2615.44     0         
519.078   1000        2642.08     0         
521.377   1000        2668.59     0         
523.657   1000        2694.69     0         
525.979   1000        2721.07     0         
528.297   1000        2747.17     0         
530.606   1000        2772.95     0         
532.956   1000        2798.93     0         
535.291   1000        2824.51     0         
537.635   1000        2849.94     0         
540.011   1000        2875.45     0         
542.361   1000        2900.42     0         
544.744   1000        2925.49     0         
547.146   1000        2950.48     0         
549.511   1000        2974.82     0         
551.909   1000        2999.21     0         
554.326   1000        3023.52     0         
556.706   1000        3047.18     0         
559.122   1000        3070.89     0         
561.549   1000        3094.45     0         
563.951   1000        3117.5      0         
566.398   1000        3140.66     0         
568.839   1000        3163.49     0         
571.285   1000        3186.1      0         
573.77    1000        3208.76     0         
576.224   1000        3230.83     0         
578.72    1000        3252.98     0         
581.23    1000        3275.02     0         
583.7     1000        3296.42     0         
586.209   1000        3317.85     0         
588.726   1000        3339.06     0         
591.221   1000        3359.84     0         
593.77    1000        3380.8      0         
596.297   1000        3401.33     0         
598.858   1000        3421.81     0         
601.439   1000        3442.17     0         
603.979   1000        3461.99     0         
606.562   1000        3481.91     0         
609.15    1000        3501.6      0         
611.723   1000        3520.89     0         
614.348   1000        3540.3      0         
616.942   1000        3559.26     0         
619.583   1000        3578.38     0         
622.235   1000        3597.33     0         
624.84    1000        3615.69     0         
627.503   1000        3634.17     0         
630.152   1000        3652.33     0         
632.835   1000        3670.56     0         
635.539   1000        3688.76     0         
638.199   1000        3706.44     0         
640.91    1000        3724.22     0         
643.613   1000        3741.66     0         
646.34    1000        3759.03     0         
649.095   1000        3776.43     0         
651.806   1000        3793.41     0         
654.572   1000        3810.57     0         
657.324   1000        3827.43     0         
660.111   1000        3844.26     0         
662.919   1000        3860.97     0         
665.672   1000        3877.16     0         
668.499   1000        3893.7      0         
671.298   1000        3909.96     0         
674.159   1000        3926.42     0         
677.016   1000        3942.65     0         
679.85    1000        3958.52     0         
682.739   1000        3974.47     0         
685.584   1000        3989.97     0         
688.493   1000        4005.72     0         
691.382   1000        4021.31     0         
694.314   1000        4037.02     0         
697.256   1000        4052.62     0         
700.164   1000        4067.85     0         
703.135   1000        4083.21     0         
706.057   1000        4098.11     0         
709.055   1000        4113.19     0         
712.023   1000        4127.98     0         
715.06    1000        4143.08     0         
718.083   1000        4158.06     0         
721.1     1000        4172.9      0         
724.156   1000        4187.76     0         
727.161   1000        4202.19     0         
730.244   1000        4216.81     0         
733.273   1000        4230.98     0         
736.39    1000        4245.38     0         
739.466   1000        4259.43     0         
742.619   1000        4273.83     0         
745.743   1000        4288.1      0         
748.914   1000        4302.48     0         
752.079   1000        4316.69     0         
755.247   1000        4330.74     0         
758.443   1000        4344.73     0         
761.612   1000        4358.43     0         
764.838   1000        4372.21     0         
768.015   1000        4385.62     0         
771.27    1000        4399.23     0         
774.453   1000        4412.48     0         
777.737   1000        4426.18     0         
780.949   1000        4439.53     0         
784.275   1000        4453.24     0         
787.528   1000        4466.49     0         
790.888   1000        4480        0         
794.175   1000        4493.07     0         
797.568   1000        4506.4      0         
800.887   1000        4519.28     0         
804.312   1000        4532.42     0         
807.659   1000        4545.12     0         
811.115   1000        4558.1      0         
814.487   1000        4570.81     0         
817.972   1000        4583.96     0         
821.365   1000        4596.69     0         
824.878   1000        4609.73     0         
828.295   1000        4622.27     0         
831.831   1000        4635.08     0         
835.277   1000        4647.42     0         
838.827   1000        4659.98     0         
842.308   1000        4672.17     0         
845.876   1000        4684.52     0         
849.414   1000        4696.65     0         
853.009   1000        4708.84     0         
856.61    1000        4720.94     0         
860.23    1000        4733.13     0         
863.901   1000        4745.53     0         
867.537   1000        4757.73     0         
871.283   1000        4770.16     0         
874.92    1000        4782.07     0         
878.683   1000        4794.24     0         
882.335   1000        4805.91     0         
886.087   1000        4817.76     0         
889.813   1000        4829.39     0         
893.575   1000        4841.01     0         
897.392   1000        4852.67     0         
900       1000        4860.59     0         
