 % Reservoir Output 
 % Unit for Total Component: B.O. ~ lb/day || Compositional ~ mol/day 

time	pres	temp	comp0	comp1	comp2	comp3	comp4	comp5	comp6	comp7	comp8	
day	psi	F	**	**	**	**	**	**	**	**	**	
   1455.45	      3259	       530	4.9825e+006	7.9886e+006	2.71735e+008	3.57826e+007	2.43329e+007	3.97795e+007	1.94887e+007	5.9857e+006	1.30016e+006	
   1475.45	   3259.02	       530	4.98264e+006	7.98883e+006	2.71743e+008	3.57836e+007	2.43336e+007	3.97801e+007	1.94886e+007	5.98262e+006	1.29944e+006	
   1495.45	   3259.04	       530	4.98278e+006	7.98906e+006	2.71751e+008	3.57846e+007	2.43342e+007	3.97807e+007	1.94885e+007	5.97953e+006	1.29872e+006	
   1515.45	   3259.06	       530	4.98293e+006	7.98929e+006	2.71759e+008	3.57856e+007	2.43349e+007	3.97814e+007	1.94884e+007	5.97645e+006	1.298e+006	
   1535.45	   3259.07	       530	4.98307e+006	7.98952e+006	2.71766e+008	3.57867e+007	2.43355e+007	3.9782e+007	1.94883e+007	5.97336e+006	1.29728e+006	
   1555.45	   3259.09	       530	4.98321e+006	7.98975e+006	2.71774e+008	3.57877e+007	2.43362e+007	3.97826e+007	1.94883e+007	5.97027e+006	1.29656e+006	
   1575.45	    3259.1	       530	4.98335e+006	7.98997e+006	2.71782e+008	3.57887e+007	2.43368e+007	3.97832e+007	1.94882e+007	5.96719e+006	1.29584e+006	
   1595.45	   3259.12	       530	4.98349e+006	7.9902e+006	2.7179e+008	3.57897e+007	2.43375e+007	3.97838e+007	1.94881e+007	5.9641e+006	1.29512e+006	
   1615.45	   3259.13	       530	4.98363e+006	7.99043e+006	2.71797e+008	3.57907e+007	2.43381e+007	3.97845e+007	1.9488e+007	5.96101e+006	1.2944e+006	
   1635.45	   3259.14	       530	4.98377e+006	7.99065e+006	2.71805e+008	3.57917e+007	2.43387e+007	3.97851e+007	1.94879e+007	5.95792e+006	1.29368e+006	
   1655.45	   3259.15	       530	4.98391e+006	7.99088e+006	2.71813e+008	3.57926e+007	2.43394e+007	3.97857e+007	1.94878e+007	5.95483e+006	1.29296e+006	
   1675.45	   3259.17	       530	4.98405e+006	7.9911e+006	2.7182e+008	3.57936e+007	2.434e+007	3.97863e+007	1.94877e+007	5.95174e+006	1.29224e+006	
   1695.45	   3259.18	       530	4.98419e+006	7.99133e+006	2.71828e+008	3.57946e+007	2.43407e+007	3.97869e+007	1.94876e+007	5.94866e+006	1.29152e+006	
   1715.45	   3259.19	       530	4.98433e+006	7.99155e+006	2.71836e+008	3.57956e+007	2.43413e+007	3.97875e+007	1.94875e+007	5.94557e+006	1.2908e+006	
   1735.45	    3259.2	       530	4.98447e+006	7.99178e+006	2.71843e+008	3.57966e+007	2.43419e+007	3.97881e+007	1.94874e+007	5.94248e+006	1.29008e+006	
   1755.45	   3259.21	       530	4.98461e+006	7.992e+006	2.71851e+008	3.57976e+007	2.43426e+007	3.97887e+007	1.94873e+007	5.93939e+006	1.28936e+006	
   1775.45	   3259.22	       530	4.98474e+006	7.99223e+006	2.71858e+008	3.57986e+007	2.43432e+007	3.97893e+007	1.94872e+007	5.9363e+006	1.28864e+006	
   1795.45	   3259.22	       530	4.98488e+006	7.99245e+006	2.71866e+008	3.57996e+007	2.43439e+007	3.97899e+007	1.94871e+007	5.93321e+006	1.28792e+006	
   1815.45	   3259.23	       530	4.98502e+006	7.99267e+006	2.71874e+008	3.58005e+007	2.43445e+007	3.97905e+007	1.94869e+007	5.93012e+006	1.2872e+006	
   1835.45	   3259.24	       530	4.98516e+006	7.9929e+006	2.71881e+008	3.58015e+007	2.43451e+007	3.97911e+007	1.94868e+007	5.92703e+006	1.28648e+006	
   1855.45	   3259.25	       530	4.9853e+006	7.99312e+006	2.71889e+008	3.58025e+007	2.43458e+007	3.97917e+007	1.94867e+007	5.92394e+006	1.28576e+006	
   1875.45	   3259.26	       530	4.98543e+006	7.99334e+006	2.71896e+008	3.58035e+007	2.43464e+007	3.97923e+007	1.94866e+007	5.92085e+006	1.28504e+006	
   1895.45	   3259.27	       530	4.98557e+006	7.99356e+006	2.71904e+008	3.58045e+007	2.4347e+007	3.97929e+007	1.94865e+007	5.91775e+006	1.28432e+006	
   1915.45	   3259.27	       530	4.98571e+006	7.99379e+006	2.71911e+008	3.58054e+007	2.43477e+007	3.97935e+007	1.94864e+007	5.91466e+006	1.2836e+006	
   1935.45	   3259.28	       530	4.98585e+006	7.99401e+006	2.71919e+008	3.58064e+007	2.43483e+007	3.97941e+007	1.94863e+007	5.91157e+006	1.28288e+006	
   1955.45	   3259.29	       530	4.98598e+006	7.99423e+006	2.71926e+008	3.58074e+007	2.43489e+007	3.97946e+007	1.94862e+007	5.90848e+006	1.28216e+006	
   1975.45	   3259.29	       530	4.98612e+006	7.99445e+006	2.71934e+008	3.58084e+007	2.43495e+007	3.97952e+007	1.94861e+007	5.90539e+006	1.28144e+006	
   1995.45	    3259.3	       530	4.98626e+006	7.99467e+006	2.71942e+008	3.58093e+007	2.43502e+007	3.97958e+007	1.9486e+007	5.9023e+006	1.28072e+006	
      2000	    3259.3	       530	4.98629e+006	7.99472e+006	2.71943e+008	3.58096e+007	2.43503e+007	3.9796e+007	1.9486e+007	5.90159e+006	1.28055e+006	
