Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

  t       BHP	     q(Gas)       q(Oil)    q(Water)
(days)   (psia)    (MSCF/day)   (STB/day)  (STB/day)
8914.78   1000        3140.2882   6012.76     0.00036086
8974.78   1000        3226.9068   6141.3      0.000365874
9034.78   1000        3315.5482   6271.67     0.000370852
9094.78   1000        3405.2641   6402.15     0.000375774
9154.78   1000        3496.2207   6533.54     0.000380578
9214.78   1000        3587.7701   6664.62     0.000385264
9274.78   1000        3679.4525   6794.53     0.000389838
9334.78   1000        3771.1502   6923.05     0.000394305
9394.78   1000        3863.6381   7051.16     0.000398712
9454.78   1000        3956.5958   7178.64     0.00040302
9484.78   1000        4003.4688   7242.47     0.000405144
9544.78   1000        4096.394    7368.06     0.000409269
9604.78   1000        4255.7295   7465.72     0.000412606
9664.78   1000        4395.2587   7562.69     0.000415743
9724.78   1000        4501.6737   7670.55     0.000418999
9784.78   1000        4597.7326   7786.47     0.000422359
9844.78   1000        4693.4278   7902.18     0.000425629
9904.78   1000        4791.0316   8020.15     0.000428879
9964.78   1000        4891.566    8141.89     0.000432144
10024.8   1000        4995.7252   8267.32     0.000435414
10084.8   1000        5103.9342   8396.88     0.000438695
10144.8   1000        5216.4286   8529.9      0.000441963
10204.8   1000        5332.8871   8663.97     0.000445159
10264.8   1000        5452.0164   8795.06     0.000448193
10324.8   1000        5571.7761   8923.39     0.000451073
10384.8   1000        5691.573    9053.88     0.000453897
10444.8   1000        5811.6219   9186.53     0.000456663
10474.8   1000        5872.3949   9253.29     0.000458017
10534.8   1000        5995.6751   9383.74     0.000460599
10594.8   1000        6116.5922   9514.63     0.000463086
10624.8   1000        6177.9201   9577.2      0.000464247
10684.8   1000        6297.6252   9692.03     0.000466335
10744.8   1000        6410.809    9796.19     0.000468172
10774.8   1000        6465.469    9847.8      0.000469057
10834.8   1000        6569.4426   9949.87     0.000470756
10894.8   1000        6671.3683   10052.9     0.000472407
10954.8   1000        6772.8885   10155.1     0.000473985
11014.8   1000        6874.2738   10256.6     0.000475499
11074.8   1000        6976.044    10359.3     0.00047697
11134.8   1000        7075.8988   10451.3     0.000478253
11194.8   1000        7173.0871   10547.1     0.00047953
11254.8   1000        7271.2075   10647.2     0.000480804
11314.8   1000        7370.9855   10748.8     0.00048205
11374.8   1000        7471.4933   10850.2     0.000483244
11434.8   1000        7574.6484   10953       0.000484398
11494.8   1000        7680.0022   11056.1     0.0004855 
11554.8   1000        7786.7085   11158.4     0.00048654
11614.8   1000        7893.6245   11258.8     0.000487507
11674.8   1000        7993.1783   11334.3     0.000488219
11734.8   1000        8089.1202   11398.2     0.000488809
11794.8   1000        8200.6629   11439.3     0.000489223
11854.8   1000        8292.6586   11466.7     0.000489511
11914.8   1000        8362.2242   11513       0.000489907
11974.8   1000        8424.2257   11565       0.000490324
12034.8   1000        8485.6846   11626.8     0.000490788
12094.8   1000        8551.111    11692.5     0.000491259
12154.8   1000        8620.5953   11759.6     0.000491718
12214.8   1000        8692.8503   11826.8     0.000492155
12274.8   1000        8766.5862   11893.6     0.000492569
12334.8   1000        8839.1117   11948.3     0.000492899
12394.8   1000        8907.3409   12007.6     0.000493232
12424.8   1000        8941.7579   12031       0.000493364
12484.8   1000        8997.3549   12041.8     0.000493456
12514.8   1000        9018.7399   12047.8     0.000493501
12544.8   1000        9034.6217   12059.4     0.000493567
12604.8   1000        9063.8243   12091       0.000493731
12664.8   1000        9098.3182   12135.5     0.000493945
12724.8   1000        9135.0831   12144.9     0.000494015
12784.8   1000        9164.6593   12176.5     0.000494166
12844.8   1000        9199.8215   12224       0.000494372
12904.8   1000        9242.8665   12263.2     0.000494542
12964.8   1000        9288.5455   12307.6     0.000494722
12994.8   1000        9312.1568   12331.5     0.000494813
13054.8   1000        9362.273    12374       0.000494973
13114.8   1000        9412.8911   12419.7     0.000495133
13129.8   1000        9425.5997   12431.4     0.000495172
13150.4   1000        9445.0865   12437.5     0.0004952 
13198     1000        9475.4662   12402.9     0.000495129
13205.5   1000        9479.6019   12396.9     0.000495115
13208.2   1000        9480.9937   12394.6     0.00049511
13209.2   1000        9481.4939   12393.8     0.000495108
13210     1000        9481.8591   12393.2     0.000495107
13210.1   1000        9481.927    12393.1     0.000495107
13210.2   1000        9481.9576   12393       0.000495107
13210.2   1000        9481.9652   12393       0.000495106
