 % Watched Cells Output (dead cell outpus 'd' if any)
time	pres(0)	sat(0)	sat(0)	pres(499)	sat(499)	sat(499)	
day	psi	**	**	psi	**	**	
983.5706	3159.583	1	0	2547.712	0.5316994	0.4683006	
984.2539	3159.561	1	0	2547.704	0.5317013	0.4682987	
985.3423	3159.525	1	0	2547.691	0.5317043	0.4682957	
987.5638	3159.448	1	0	2547.666	0.5317104	0.4682896	
991.9638	3159.296	1	0	2547.622	0.5317231	0.4682769	
1003.85	3158.929	1	0	2547.509	0.5317618	0.4682382	
1023.85	3158.372	1	0	2547.306	0.5318247	0.4681753	
1043.85	3157.773	1	0	2547.16	0.5318927	0.4681073	
1052.787	3157.522	1	0	2547.096	0.5319237	0.4680763	
1072.787	3157.008	1	0	2546.937	0.5319873	0.4680127	
1092.787	3156.522	1	0	2546.778	0.5320457	0.4679543	
1112.787	3156.012	1	0	2546.662	0.5321064	0.4678936	
1132.722	3155.569	1	0	2546.531	0.532162	0.467838	
1152.722	3155.166	1	0	2546.389	0.5322103	0.4677897	
1172.722	3154.768	1	0	2546.261	0.5322547	0.4677453	
1179.998	3154.629	1	0	2546.217	0.5322706	0.4677294	
1198.279	3154.298	1	0	2546.111	0.5323078	0.4676922	
1218.279	3153.932	1	0	2546.021	0.5323469	0.4676531	
1238.279	3153.583	1	0	2545.946	0.5323823	0.4676177	
1258.279	3153.26	1	0	2545.864	0.5324091	0.4675909	
1278.279	3152.924	1	0	2545.8	0.5324293	0.4675707	
1296.491	3152.614	1	0	2545.772	0.5324451	0.4675549	
1303.02	3152.507	1	0	2545.762	0.5324503	0.4675497	
1317.559	3152.286	1	0	2545.733	0.5324552	0.4675448	
1321.952	3152.219	1	0	2545.725	0.5324561	0.4675439	
1330.979	3152.07	1	0	2545.724	0.5324568	0.4675432	
1342.406	3151.895	1	0	2545.725	0.5324564	0.4675436	
1362.406	3151.635	1	0	2545.694	0.5324386	0.4675614	
1382.406	3151.397	1	0	2545.644	0.5324033	0.4675967	
1400	3151.197	1	0	2545.601	0.532362	0.467638	
