KVALUES
Results of phase equilibrium constant Ki at temperature = 530

P(psia)  K[1]	K[2]	K[3]	K[4]	K[5]	K[6]	K[7]	K[8]	K[9]	
    1395    1.117584    3.971812    2.354613   0.6958007   0.3399555    0.109654  0.06649153  0.004030209  3.044227e-005  
    1396     1.11723    3.967982    2.353044   0.6957848   0.3400935   0.1097627  0.06657699  0.004042548  3.062934e-005  
    1397    1.116876    3.964157    2.351477   0.6957694   0.3402319   0.1098716   0.0666626  0.004054928  3.081758e-005  
    1398    1.116523    3.960338    2.349913   0.6957544   0.3403705   0.1099807  0.06674837  0.004067349  3.1007e-005  
    1399    1.116171    3.956524    2.348351   0.6957397   0.3405093     0.11009   0.0668343  0.004079811  3.119761e-005  
    1400     1.11582    3.952715    2.346791   0.6957255   0.3406485   0.1101995  0.06692038  0.004092313  3.138941e-005  
    1401     1.11547    3.948912    2.345233   0.6957117   0.3407879   0.1103091  0.06700661  0.004104857  3.158242e-005  
    1402     1.11512    3.945113    2.343677   0.6956983   0.3409275    0.110419  0.06709301  0.004117442  3.177664e-005  
    1403    1.114771    3.941321    2.342123   0.6956852   0.3410675    0.110529  0.06717956  0.004130069  3.197207e-005  
    1404    1.114422    3.937533    2.340572   0.6956726   0.3412077   0.1106392  0.06726627  0.004142737  3.216873e-005  
    1405    1.114075    3.933751    2.339023   0.6956604   0.3413482   0.1107496  0.06735314  0.004155447  3.236663e-005  
    1406    1.113728    3.929973    2.337476   0.6956486   0.3414889   0.1108602  0.06744017  0.004168199  3.256576e-005  
    1407    1.113382    3.926201    2.335931   0.6956372   0.3416299   0.1109709  0.06752735  0.004180993  3.276615e-005  
    1408    1.113036    3.922435    2.334388   0.6956262   0.3417712   0.1110819   0.0676147  0.00419383  3.296779e-005  
    1409    1.112691    3.918673    2.332847   0.6956156   0.3419128    0.111193   0.0677022  0.004206708  3.31707e-005  
    1410    1.112347    3.914917    2.331309   0.6956053   0.3420546   0.1113044  0.06778986  0.004219629  3.337488e-005  
    1411    1.112004    3.911166    2.329773   0.6955955   0.3421967   0.1114159  0.06787768  0.004232593  3.358034e-005  
    1412    1.111661     3.90742    2.328238   0.6955861   0.3423391   0.1115276  0.06796566  0.004245599  3.378709e-005  
    1413    1.111319    3.903679    2.326706   0.6955771   0.3424817   0.1116395   0.0680538  0.004258648  3.399514e-005  
    1414    1.110978    3.899944    2.325176   0.6955685   0.3426246   0.1117516   0.0681421  0.00427174  3.42045e-005  
    1415    1.110638    3.896213    2.323648   0.6955602   0.3427678   0.1118639  0.06823056  0.004284876  3.441517e-005  
    1416    1.110298    3.892488    2.322122   0.6955524   0.3429112   0.1119763  0.06831919  0.004298055  3.462716e-005  
    1417    1.109959    3.888768    2.320599   0.6955449   0.3430549    0.112089  0.06840797  0.004311277  3.484049e-005  
    1418     1.10962    3.885053    2.319077   0.6955379   0.3431989   0.1122018  0.06849691  0.004324543  3.505515e-005  
    1419    1.109283    3.881343    2.317558   0.6955312   0.3433431   0.1123148  0.06858602  0.004337852  3.527116e-005  
    1420    1.108946    3.877638     2.31604    0.695525   0.3434877   0.1124281  0.06867529  0.004351206  3.548853e-005  
    1421    1.108609    3.873938    2.314525   0.6955191   0.3436324   0.1125415  0.06876472  0.004364604  3.570726e-005  
    1422    1.108274    3.870244    2.313012   0.6955136   0.3437775   0.1126551  0.06885431  0.004378045  3.592737e-005  
    1423    1.107939    3.866554      2.3115   0.6955085   0.3439228   0.1127689  0.06894407  0.004391532  3.614886e-005  
    1424    1.107605    3.862869    2.309991   0.6955038   0.3440684   0.1128829  0.06903399  0.004405063  3.637174e-005  
    1425    1.107271     3.85919    2.308484   0.6954995   0.3442143    0.112997  0.06912407  0.004418638  3.659602e-005  
    1426    1.106938    3.855515    2.306979   0.6954956   0.3443604   0.1131114  0.06921431  0.004432258  3.682171e-005  
    1427    1.106606    3.851846    2.305476    0.695492   0.3445068    0.113226  0.06930472  0.004445923  3.704881e-005  
    1428    1.106275    3.848181    2.303975   0.6954889   0.3446535   0.1133407  0.06939529  0.004459634  3.727735e-005  
    1429    1.105944    3.844522    2.302476   0.6954861   0.3448004   0.1134556  0.06948603  0.00447339  3.750732e-005  
    1430    1.105614    3.840867     2.30098   0.6954838   0.3449476   0.1135708  0.06957693  0.004487191  3.773874e-005  
    1431    1.105285    3.837218    2.299485   0.6954818   0.3450951   0.1136861    0.069668  0.004501037  3.797161e-005  
    1432    1.104956    3.833573    2.297992   0.6954802   0.3452429   0.1138016  0.06975923  0.00451493  3.820594e-005  
    1433    1.104628    3.829934    2.296501    0.695479   0.3453909   0.1139174  0.06985063  0.004528868  3.844175e-005  
    1434    1.104301    3.826299    2.295013   0.6954781   0.3455392   0.1140333  0.06994219  0.004542852  3.867904e-005  
    1435    1.103974    3.822669    2.293526   0.6954777   0.3456877   0.1141494  0.07003392  0.004556883  3.891782e-005  
    1436    1.103648    3.819045    2.292041   0.6954776   0.3458365   0.1142657  0.07012582  0.00457096  3.91581e-005  
    1437    1.103323    3.815425    2.290559    0.695478   0.3459856   0.1143822  0.07021788  0.004585083  3.939989e-005  
    1438    1.102998     3.81181    2.289078   0.6954787    0.346135   0.1144988  0.07031011  0.004599253  3.96432e-005  
    1439    1.102674      3.8082    2.287599   0.6954798   0.3462846   0.1146157  0.07040251  0.00461347  3.988805e-005  
    1440    1.102351    3.804594    2.286123   0.6954812   0.3464345   0.1147328  0.07049507  0.004627734  4.013443e-005  
    1441    1.102028    3.800994    2.284648   0.6954831   0.3465847   0.1148501   0.0705878  0.004642045  4.038236e-005  
    1442    1.101706    3.797399    2.283176   0.6954853   0.3467351   0.1149675   0.0706807  0.004656404  4.063185e-005  
    1443    1.101385    3.793808    2.281705   0.6954879   0.3468858   0.1150852  0.07077377  0.00467081  4.088291e-005  
    1444    1.101065    3.790222    2.280236   0.6954909   0.3470368   0.1152031  0.07086701  0.004685263  4.113555e-005  
    1445    1.100745    3.786642    2.278769   0.6954943   0.3471881   0.1153211  0.07096041  0.004699765  4.138978e-005  
    1446    1.100425    3.783065    2.277305    0.695498   0.3473396   0.1154394  0.07105399  0.004714314  4.164561e-005  
    1447    1.100107    3.779494    2.275842   0.6955022   0.3474914   0.1155578  0.07114773  0.004728911  4.190305e-005  
    1448    1.099789    3.775928    2.274381   0.6955067   0.3476434   0.1156765  0.07124164  0.004743557  4.216211e-005  
    1449    1.099472    3.772366    2.272922   0.6955116   0.3477957   0.1157953  0.07133573  0.004758251  4.242279e-005  
    1450    1.099155    3.768809    2.271465   0.6955168   0.3479483   0.1159144  0.07142998  0.004772994  4.268512e-005  
    1451    1.098839    3.765257     2.27001   0.6955225   0.3481012   0.1160336   0.0715244  0.004787785  4.29491e-005  
    1452    1.098524     3.76171    2.268557   0.6955285   0.3482543    0.116153    0.071619  0.004802626  4.321474e-005  
    1453    1.098209    3.758167    2.267106   0.6955349   0.3484077   0.1162727  0.07171376  0.004817515  4.348205e-005  
    1454    1.097895     3.75463    2.265657   0.6955416   0.3485614   0.1163925   0.0718087  0.004832454  4.375105e-005  
    1455    1.097582    3.751097     2.26421   0.6955488   0.3487153   0.1165125  0.07190381  0.004847442  4.402174e-005  
    1456     1.09727    3.747572    2.262767   0.6955566   0.3488697   0.1166328  0.07199909  0.004862481  4.429415e-005  
    1457    1.096958    3.744048    2.261324   0.6955645   0.3490242   0.1167532  0.07209454  0.004877568  4.456826e-005  
    1458    1.096646     3.74053    2.259882   0.6955727   0.3491789   0.1168738  0.07219017  0.004892706  4.484409e-005  
    1459    1.096335    3.737015    2.258443   0.6955814   0.3493339   0.1169947  0.07228596  0.004907894  4.512166e-005  
    1460    1.096025    3.733506    2.257005   0.6955904   0.3494892   0.1171157  0.07238194  0.004923132  4.540098e-005  
    1461    1.095716    3.730001     2.25557   0.6955997   0.3496448    0.117237  0.07247808  0.00493842  4.568206e-005  
    1462    1.095407    3.726501    2.254136   0.6956095   0.3498006   0.1173584   0.0725744  0.004953759  4.59649e-005  
    1463    1.095099    3.723006    2.252704   0.6956196   0.3499567     0.11748   0.0726709  0.004969149  4.624953e-005  
    1464    1.094792    3.719515    2.251274   0.6956301   0.3501131   0.1176019  0.07276756  0.00498459  4.653595e-005  
    1465    1.094485    3.716029    2.249846   0.6956409   0.3502697   0.1177239  0.07286441  0.005000081  4.682418e-005  
    1466    1.094179    3.712547     2.24842   0.6956522   0.3504266   0.1178462  0.07296142  0.005015625  4.711422e-005  
    1467    1.093873     3.70907    2.246996   0.6956638   0.3505838   0.1179686  0.07305862  0.005031219  4.740608e-005  
    1468    1.093568    3.705598    2.245573   0.6956757   0.3507413   0.1180913  0.07315598  0.005046866  4.769979e-005  
    1469    1.093264    3.702131    2.244153   0.6956881    0.350899   0.1182141  0.07325353  0.005062564  4.799534e-005  
    1470     1.09296    3.698668    2.242734   0.6957008    0.351057   0.1183372  0.07335125  0.005078314  4.829276e-005  
    1471    1.092657    3.695209    2.241317   0.6957138   0.3512152   0.1184604  0.07344915  0.005094116  4.859206e-005  
    1472    1.092355    3.691755    2.239902   0.6957273   0.3513738   0.1185839  0.07354722  0.005109971  4.889323e-005  
    1473    1.092053    3.688306    2.238489    0.695741   0.3515326   0.1187076  0.07364547  0.005125878  4.919631e-005  
    1474    1.091752    3.684861    2.237078   0.6957552   0.3516916   0.1188314   0.0737439  0.005141838  4.950129e-005  
    1475    1.091451    3.681421    2.235669   0.6957697    0.351851   0.1189555   0.0738425  0.005157851  4.98082e-005  
    1476    1.091152    3.677985    2.234261   0.6957846   0.3520106   0.1190798  0.07394129  0.005173917  5.011704e-005  
    1477    1.090852    3.674554    2.232856   0.6957999   0.3521704   0.1192043  0.07404025  0.005190036  5.042783e-005  
    1478    1.090554    3.671128    2.231452   0.6958155   0.3523306    0.119329  0.07413939  0.005206208  5.074058e-005  
    1479    1.090256    3.667706     2.23005   0.6958315    0.352491   0.1194539  0.07423871  0.005222435  5.10553e-005  
    1480    1.089958    3.664288     2.22865   0.6958478   0.3526517    0.119579   0.0743382  0.005238715  5.1372e-005  
    1481    1.089662    3.660875    2.227251   0.6958645   0.3528127   0.1197043  0.07443788  0.005255048  5.16907e-005  
    1482    1.089366    3.657467    2.225855   0.6958816   0.3529739   0.1198298  0.07453774  0.005271437  5.201141e-005  
    1483     1.08907    3.654063     2.22446    0.695899   0.3531354   0.1199555  0.07463778  0.005287879  5.233414e-005  
    1484    1.088775    3.650663    2.223067   0.6959168   0.3532972   0.1200815  0.07473799  0.005304376  5.265891e-005  
    1485    1.088481    3.647268    2.221676   0.6959349   0.3534592   0.1202076  0.07483839  0.005320928  5.298572e-005  
    1486    1.088187    3.643877    2.220287   0.6959534   0.3536215   0.1203339  0.07493897  0.005337534  5.33146e-005  
    1487    1.087894    3.640491      2.2189   0.6959723   0.3537841   0.1204605  0.07503973  0.005354196  5.364555e-005  
    1488    1.087602    3.637109    2.217514   0.6959915   0.3539469   0.1205873  0.07514067  0.005370913  5.397858e-005  
    1489     1.08731    3.633732     2.21613   0.6960111     0.35411   0.1207142   0.0752418  0.005387685  5.431372e-005  
    1490    1.087019    3.630359    2.214748    0.696031   0.3542734   0.1208414   0.0753431  0.005404513  5.465097e-005  
    1491    1.086728     3.62699    2.213368   0.6960513   0.3544371   0.1209688  0.07544459  0.005421397  5.499035e-005  
    1492    1.086438    3.623626     2.21199    0.696072    0.354601   0.1210964  0.07554627  0.005438336  5.533186e-005  
    1493    1.086149    3.620267    2.210613    0.696093   0.3547652   0.1212242  0.07564812  0.005455332  5.567554e-005  
    1494     1.08586    3.616911    2.209238   0.6961143   0.3549297   0.1213522  0.07575016  0.005472385  5.602138e-005  
    1495    1.085572     3.61356    2.207865   0.6961361   0.3550944   0.1214804  0.07585238  0.005489494  5.63694e-005  
    1496    1.085285    3.610214    2.206494   0.6961581   0.3552595   0.1216089  0.07595479  0.005506659  5.671962e-005  
    1497    1.084998    3.606871    2.205124   0.6961806   0.3554247   0.1217375  0.07605738  0.005523882  5.707205e-005  
    1498    1.084711    3.603534    2.203757   0.6962033   0.3555903   0.1218664  0.07616015  0.005541162  5.74267e-005  
    1499    1.084426      3.6002     2.20239   0.6962265   0.3557561   0.1219955  0.07626311  0.005558499  5.778359e-005  
    1500    1.084141    3.596871    2.201026     0.69625   0.3559222   0.1221247  0.07636626  0.005575894  5.814273e-005  
    1501    1.083856    3.593546    2.199664   0.6962738   0.3560886   0.1222542  0.07646959  0.005593346  5.850414e-005  
    1502    1.083572    3.590225    2.198303    0.696298   0.3562552    0.122384  0.07657311  0.005610857  5.886783e-005  
    1503    1.083289    3.586909    2.196944   0.6963225   0.3564221   0.1225139  0.07667681  0.005628425  5.923382e-005  
    1504    1.083006    3.583597    2.195587   0.6963474   0.3565893    0.122644   0.0767807  0.005646052  5.960211e-005  
    1505    1.082724     3.58029    2.194231   0.6963727   0.3567568   0.1227744  0.07688478  0.005663738  5.997273e-005  
    1506    1.082442    3.576986    2.192877   0.6963983   0.3569245   0.1229049  0.07698904  0.005681482  6.034569e-005  
    1507    1.082161    3.573687    2.191525   0.6964242   0.3570925   0.1230357  0.07709349  0.005699285  6.072101e-005  
    1508    1.081881    3.570392    2.190175   0.6964505   0.3572607   0.1231667  0.07719813  0.005717147  6.109869e-005  
    1509    1.081601    3.567102    2.188826   0.6964772   0.3574293   0.1232979  0.07730296  0.005735068  6.147876e-005  
    1510    1.081322    3.563816    2.187479   0.6965042   0.3575981   0.1234293  0.07740797  0.005753049  6.186123e-005  
    1511    1.081044    3.560533    2.186134   0.6965315   0.3577672   0.1235609  0.07751318  0.00577109  6.224611e-005  
    1512    1.080766    3.557256    2.184791   0.6965592   0.3579365   0.1236928  0.07761857  0.005789191  6.263342e-005  
    1513    1.080489    3.553986    2.183451   0.6965876   0.3581063   0.1238248  0.07772415  0.005807353  6.302322e-005  
    1514    1.080212    3.550716    2.182111   0.6966159   0.3582761   0.1239571  0.07782992  0.005825574  6.341544e-005  
    1515    1.079936    3.547451    2.180773   0.6966447   0.3584463   0.1240896  0.07793589  0.005843856  6.381014e-005  
    1516     1.07966     3.54419    2.179436   0.6966738   0.3586167   0.1242223  0.07804204  0.005862198  6.420733e-005  
    1517    1.079385    3.540934    2.178101   0.6967032   0.3587875   0.1243552  0.07814839  0.005880602  6.460703e-005  
    1518    1.079111    3.537681    2.176768    0.696733   0.3589584   0.1244884  0.07825492  0.005899066  6.500926e-005  
    1519    1.078837    3.534433    2.175436   0.6967631   0.3591297   0.1246217  0.07836165  0.005917592  6.541402e-005  
    1520    1.078563    3.531188    2.174107   0.6967936   0.3593012   0.1247553  0.07846857  0.005936179  6.582134e-005  
    1521    1.078291    3.527948    2.172778   0.6968244    0.359473   0.1248891  0.07857568  0.005954829  6.623123e-005  
    1522    1.078018    3.524713    2.171452   0.6968555   0.3596451   0.1250231  0.07868298  0.00597354  6.664372e-005  
    1523    1.077747    3.521481    2.170127    0.696887   0.3598174   0.1251574  0.07879048  0.005992313  6.705881e-005  
    1524    1.077476    3.518253    2.168804   0.6969189     0.35999   0.1252918  0.07889817  0.006011149  6.747652e-005  
    1525    1.077205     3.51503    2.167483    0.696951   0.3601629   0.1254265  0.07900605  0.006030047  6.789687e-005  
    1526    1.076936     3.51181    2.166163   0.6969836    0.360336   0.1255614  0.07911413  0.006049008  6.831988e-005  
    1527    1.076666    3.508595    2.164845   0.6970164   0.3605094   0.1256965   0.0792224  0.006068033  6.874555e-005  
    1528    1.076398    3.505384    2.163528   0.6970496   0.3606831   0.1258318  0.07933086  0.00608712  6.917392e-005  
    1529    1.076129    3.502177    2.162213   0.6970832   0.3608571   0.1259674  0.07943952  0.006106271  6.9605e-005  
    1530    1.075862    3.498974      2.1609   0.6971171   0.3610313   0.1261031  0.07954837  0.006125485  7.00388e-005  
    1531    1.075595    3.495775    2.159589   0.6971513   0.3612059   0.1262391  0.07965742  0.006144764  7.047534e-005  
    1532    1.075328    3.492581    2.158279   0.6971858   0.3613806   0.1263753  0.07976667  0.006164107  7.091464e-005  
    1533    1.075063     3.48939     2.15697   0.6972208   0.3615557   0.1265118  0.07987611  0.006183513  7.135672e-005  
    1534    1.074797    3.486203    2.155664    0.697256    0.361731   0.1266484  0.07998575  0.006202985  7.180159e-005  
    1535    1.074532    3.483021    2.154359   0.6972916   0.3619066   0.1267853  0.08009558  0.006222521  7.224927e-005  
    1536    1.074268    3.479842    2.153056   0.6973275   0.3620825   0.1269224  0.08020561  0.006242122  7.269979e-005  
    1537    1.074005    3.476668    2.151754   0.6973638   0.3622586   0.1270597  0.08031584  0.006261789  7.315315e-005  
    1538    1.073742    3.473497    2.150454   0.6974004    0.362435   0.1271973  0.08042627  0.00628152  7.360937e-005  
    1539    1.073479    3.470331    2.149155   0.6974373   0.3626117   0.1273351  0.08053689  0.006301318  7.406848e-005  
    1540    1.073217    3.467168    2.147858   0.6974746   0.3627887   0.1274731  0.08064772  0.006321181  7.45305e-005  
    1541    1.072956     3.46401    2.146563   0.6975122   0.3629659   0.1276113  0.08075874  0.00634111  7.499543e-005  
    1542    1.072695    3.460855     2.14527   0.6975501   0.3631434   0.1277497  0.08086996  0.006361106  7.54633e-005  
    1543    1.072435    3.457705    2.143978   0.6975884   0.3633212   0.1278884  0.08098138  0.006381168  7.593413e-005  
    1544    1.072175    3.454559    2.142687    0.697627   0.3634992   0.1280273    0.081093  0.006401297  7.640794e-005  
    1545    1.071916    3.451416    2.141398   0.6976659   0.3636776   0.1281664  0.08120482  0.006421493  7.688475e-005  
    1546    1.071657    3.448278    2.140111   0.6977052   0.3638562   0.1283057  0.08131684  0.006441756  7.736457e-005  
    1547    1.071399    3.445143    2.138826   0.6977448    0.364035   0.1284453  0.08142906  0.006462087  7.784742e-005  
    1548    1.071142    3.442013    2.137541   0.6977848   0.3642142   0.1285851  0.08154148  0.006482485  7.833333e-005  
    1549    1.070885    3.438886    2.136259    0.697825   0.3643936   0.1287251  0.08165411  0.006502951  7.882231e-005  
    1550    1.070628    3.435763    2.134978   0.6978656   0.3645733   0.1288654  0.08176693  0.006523485  7.931438e-005  
    1551    1.070372    3.432644    2.133699   0.6979066   0.3647532   0.1290058  0.08187996  0.006544088  7.980956e-005  
    1552    1.070117     3.42953    2.132421   0.6979479   0.3649335   0.1291465  0.08199319  0.006564759  8.030788e-005  
    1553    1.069862    3.426419    2.131145   0.6979895    0.365114   0.1292875  0.08210662  0.006585499  8.080935e-005  
    1554    1.069608    3.423312    2.129871   0.6980314   0.3652947   0.1294286  0.08222026  0.006606308  8.131399e-005  
    1555    1.069355    3.420209    2.128598   0.6980737   0.3654758     0.12957   0.0823341  0.006627186  8.182182e-005  
    1556    1.069101    3.417109    2.127326   0.6981163   0.3656571   0.1297116  0.08244814  0.006648134  8.233286e-005  
    1557    1.068849    3.414014    2.126056   0.6981592   0.3658387   0.1298535  0.08256239  0.006669151  8.284714e-005  
    1558    1.068597    3.410923    2.124788   0.6982024   0.3660206   0.1299955  0.08267684  0.006690239  8.336467e-005  
    1559    1.068345    3.407835    2.123521    0.698246   0.3662027   0.1301378   0.0827915  0.006711396  8.388547e-005  
    1560    1.068094    3.404751    2.122256   0.6982899   0.3663851   0.1302804  0.08290636  0.006732624  8.440957e-005  
    1561    1.067844    3.401671    2.120993   0.6983342   0.3665678   0.1304231  0.08302143  0.006753923  8.493699e-005  
    1562    1.067594    3.398595     2.11973   0.6983787   0.3667508   0.1305661   0.0831367  0.006775293  8.546774e-005  
    1563    1.067345    3.395523     2.11847   0.6984236    0.366934   0.1307093  0.08325218  0.006796734  8.600185e-005  
    1564    1.067096    3.392455    2.117211   0.6984688   0.3671175   0.1308528  0.08336787  0.006818246  8.653933e-005  
    1565    1.066848     3.38939    2.115953   0.6985144   0.3673013   0.1309965  0.08348376  0.00683983  8.708022e-005  
    1566      1.0666    3.386333      2.1147   0.6985606   0.3674855   0.1311404  0.08359986  0.006861488  8.762462e-005  
    1567    1.066353    3.383276    2.113445   0.6986068   0.3676699   0.1312846  0.08371617  0.006883216  8.817238e-005  
    1568    1.066106    3.380223    2.112192   0.6986533   0.3678545   0.1314289  0.08383269  0.006905017  8.87236e-005  
    1569     1.06586    3.377174    2.110941   0.6987002   0.3680394   0.1315736  0.08394942  0.00692689  8.927831e-005  
    1570    1.065615    3.374129    2.109691   0.6987473   0.3682245   0.1317184  0.08406635  0.006948835  8.983654e-005  
    1571     1.06537    3.371087    2.108443   0.6987949     0.36841   0.1318635  0.08418349  0.006970854  9.039829e-005  
    1572    1.065125    3.368049    2.107196   0.6988427   0.3685957   0.1320088  0.08430085  0.006992947  9.096361e-005  
    1573    1.064881    3.365015    2.105951   0.6988908   0.3687816   0.1321543  0.08441841  0.007015113  9.15325e-005  
    1574    1.064637    3.361985    2.104707   0.6989393   0.3689679   0.1323001  0.08453618  0.007037352  9.210499e-005  
    1575    1.064394    3.358959    2.103465   0.6989881   0.3691544   0.1324461  0.08465417  0.007059666  9.26811e-005  
    1576    1.064152    3.355936    2.102224   0.6990372   0.3693412   0.1325924  0.08477236  0.007082054  9.326086e-005  
    1577     1.06391    3.352917    2.100985   0.6990867   0.3695283   0.1327389  0.08489077  0.007104517  9.384429e-005  
    1578    1.063669    3.349902    2.099747   0.6991364   0.3697156   0.1328856  0.08500938  0.007127055  9.443141e-005  
    1579    1.063428     3.34689    2.098511   0.6991865   0.3699033   0.1330326  0.08512821  0.007149668  9.502225e-005  
    1580    1.063187    3.343882    2.097276   0.6992369   0.3700912   0.1331798  0.08524725  0.007172356  9.561683e-005  
    1581    1.062948    3.340878    2.096043   0.6992876   0.3702793   0.1333272  0.08536651  0.007195119  9.621517e-005  
    1582    1.062708    3.337878    2.094811   0.6993387   0.3704678   0.1334749  0.08548598  0.007217959  9.68173e-005  
    1583    1.062469    3.334881    2.093581   0.6993901   0.3706565   0.1336228  0.08560566  0.007240875  9.742325e-005  
    1584    1.062231    3.331888    2.092352   0.6994417   0.3708455   0.1337709  0.08572555  0.007263867  9.803302e-005  
    1585    1.061993    3.328899    2.091125   0.6994937   0.3710348   0.1339193  0.08584566  0.007286935  9.864666e-005  
    1586    1.061756    3.325913    2.089899   0.6995461   0.3712243   0.1340679  0.08596598  0.007310081  9.926419e-005  
    1587    1.061519    3.322931    2.088675   0.6995987   0.3714141   0.1342168  0.08608652  0.007333304  9.988562e-005  
    1588    1.061283    3.319953    2.087452   0.6996517   0.3716042   0.1343659  0.08620728  0.007356604  0.000100511  
    1589    1.061047    3.316978     2.08623    0.699705   0.3717946   0.1345152  0.08632825  0.007379981  0.0001011403  
    1590    1.060812    3.314007     2.08501   0.6997585   0.3719853   0.1346648  0.08644943  0.007403437  0.0001017736  
    1591    1.060577     3.31104    2.083792   0.6998125   0.3721762   0.1348146  0.08657083  0.007426971  0.000102411  
    1592    1.060343    3.308077    2.082575   0.6998667   0.3723674   0.1349647  0.08669245  0.007450584  0.0001030523  
    1593     1.06011    3.305117    2.081359   0.6999212   0.3725588    0.135115  0.08681429  0.007474275  0.0001036977  
    1594    1.059876     3.30216    2.080145   0.6999761   0.3727506   0.1352655  0.08693634  0.007498045  0.0001043472  
    1595    1.059644    3.299207    2.078932   0.7000313   0.3729426   0.1354163  0.08705861  0.007521894  0.0001050009  
    1596    1.059412    3.296258    2.077721   0.7000868   0.3731349   0.1355673   0.0871811  0.007545823  0.0001056586  
    1597     1.05918    3.293313    2.076511   0.7001426   0.3733275   0.1357186  0.08730381  0.007569832  0.0001063205  
    1598    1.058949    3.290371    2.075303   0.7001987   0.3735203   0.1358701  0.08742674  0.00759392  0.0001069867  
    1599    1.058718    3.287433    2.074096   0.7002551   0.3737135   0.1360219  0.08754988  0.007618089  0.000107657  
    1600    1.058488    3.284498     2.07289   0.7003119   0.3739069   0.1361739  0.08767325  0.007642339  0.0001083316  
    1601    1.058258    3.281567    2.071686   0.7003689   0.3741005   0.1363261  0.08779684  0.007666669  0.0001090104  
    1602    1.058029    3.278639    2.070483   0.7004263   0.3742945   0.1364786  0.08792064  0.007691081  0.0001096936  
    1603    1.057801    3.275715    2.069282    0.700484   0.3744887   0.1366313  0.08804467  0.007715574  0.0001103811  
    1604    1.057573    3.272795    2.068082    0.700542   0.3746832   0.1367843  0.08816892  0.007740149  0.0001110729  
    1605    1.057345    3.269878    2.066884   0.7006003    0.374878   0.1369375  0.08829339  0.007764805  0.0001117691  
    1606    1.057118    3.266968    2.065689   0.7006592   0.3750732   0.1370909  0.08841808  0.007789548  0.0001124698  
    1607    1.056891    3.264058    2.064493   0.7007182   0.3752685   0.1372446    0.088543  0.007814369  0.0001131749  
    1608    1.056665    3.261152    2.063299   0.7007774   0.3754641   0.1373986  0.08866814  0.007839273  0.0001138844  
    1609     1.05644    3.258249    2.062106    0.700837     0.37566   0.1375528   0.0887935  0.007864261  0.0001145985  
    1610    1.056215     3.25535    2.060915   0.7008969   0.3758562   0.1377072  0.08891908  0.007889332  0.000115317  
    1611     1.05599    3.252455    2.059725   0.7009571   0.3760526   0.1378619  0.08904489  0.007914486  0.0001160401  
    1612    1.055766    3.249563    2.058536   0.7010176   0.3762493   0.1380169  0.08917092  0.007939724  0.0001167678  
    1613    1.055542    3.246674    2.057349   0.7010784   0.3764463    0.138172  0.08929718  0.007965047  0.0001175001  
    1614    1.055319    3.243789    2.056163   0.7011395   0.3766436   0.1383275  0.08942366  0.007990454  0.000118237  
    1615    1.055096    3.240907    2.054979   0.7012009   0.3768412   0.1384832  0.08955037  0.008015945  0.0001189786  
    1616    1.054874    3.238029    2.053796   0.7012626    0.377039   0.1386391   0.0896773  0.008041522  0.0001197249  
    1617    1.054652    3.235155    2.052615   0.7013246   0.3772371   0.1387953  0.08980446  0.008067184  0.0001204759  
    1618    1.054431    3.232284    2.051434    0.701387   0.3774354   0.1389517  0.08993185  0.008092932  0.0001212317  
    1619     1.05421    3.229416    2.050256   0.7014496   0.3776341   0.1391084  0.09005946  0.008118765  0.0001219923  
    1620     1.05399    3.226552    2.049078   0.7015126    0.377833   0.1392653   0.0901873  0.008144685  0.0001227577  
    1621     1.05377    3.223691    2.047902   0.7015759   0.3780322   0.1394225  0.09031537  0.008170691  0.0001235279  
    1622    1.053551    3.220834    2.046727   0.7016394   0.3782317   0.1395799  0.09044366  0.008196784  0.000124303  
    1623    1.053332     3.21798    2.045554   0.7017033   0.3784315   0.1397376  0.09057219  0.008222965  0.0001250831  
    1624    1.053114     3.21513    2.044382   0.7017675   0.3786315   0.1398955  0.09070094  0.008249232  0.000125868  
    1625    1.052896    3.212283    2.043211    0.701832   0.3788318   0.1400537  0.09082993  0.008275587  0.000126658  
    1626    1.052679    3.209439    2.042042   0.7018968   0.3790324   0.1402121  0.09095914  0.00830203  0.0001274529  
    1627    1.052462    3.206599    2.040874   0.7019619   0.3792333   0.1403708  0.09108858  0.008328561  0.0001282529  
    1628    1.052245    3.203763    2.039708   0.7020273   0.3794344   0.1405297  0.09121825  0.008355181  0.000129058  
    1629    1.052029     3.20093    2.038543    0.702093   0.3796359   0.1406889  0.09134816  0.00838189  0.0001298681  
    1630    1.051814      3.1981    2.037379    0.702159   0.3798376   0.1408483  0.09147829  0.008408688  0.0001306834  
    1631    1.051599    3.195273    2.036216   0.7022253   0.3800395    0.141008  0.09160866  0.008435575  0.0001315039  
    1632    1.051385     3.19245    2.035055   0.7022919   0.3802418    0.141168  0.09173926  0.008462552  0.0001323295  
    1633    1.051171    3.189631    2.033896   0.7023588   0.3804443   0.1413282  0.09187009  0.008489619  0.0001331604  
    1634    1.050957    3.186814    2.032737   0.7024261   0.3806471   0.1414887  0.09200115  0.008516777  0.0001339966  
    1635    1.050744    3.184001     2.03158   0.7024936   0.3808502   0.1416494  0.09213245  0.008544025  0.000134838  
    1636    1.050531    3.181192    2.030424   0.7025614   0.3810536   0.1418103  0.09226398  0.008571363  0.0001356848  
