KVALUES
Results of phase equilibrium constant Ki at temperature = 530

P(psia)  K[1]	K[2]	K[3]	K[4]	K[5]	K[6]	K[7]	K[8]	K[9]	
      93    9.990783    74.53356    33.78574    4.516699    1.325266   0.2089407   0.0846275  0.0005139369  7.347798e-008  
      94    9.891378    73.76229    33.42645     4.47128    1.312312   0.2070148  0.08388651  0.0005105571  7.326685e-008  
      95    9.794024    73.00669    33.07469    4.426822    1.299634   0.2051301  0.08316134  0.0005072524  7.3063e-008  
      96     9.69866    72.26628    32.73022    4.383293    1.287224   0.2032855  0.08245151  0.0005040205  7.286623e-008  
      97    9.605223    71.54059    32.39281    4.340665    1.275074   0.2014796  0.08175654  0.0005008592  7.267635e-008  
      98    9.513655    70.82919    32.06226    4.298911    1.263174   0.1997113  0.08107598  0.0004977663  7.249316e-008  
      99      9.4239    70.13164    31.73835    4.258004    1.251519   0.1979794  0.08040938  0.0004947399  7.231648e-008  
     100    9.335903    69.44754    31.42089    4.217918    1.240099   0.1962828  0.07975634  0.000491778  7.214615e-008  
     101    9.249612    68.77649    31.10969    4.178628    1.228909   0.1946206  0.07911644  0.0004888788  7.1982e-008  
     102    9.164978    68.11813    30.80456    4.140113    1.217942   0.1929915  0.07848931  0.0004860404  7.182388e-008  
     103    9.081953    67.47209    30.50532    4.102348     1.20719   0.1913948  0.07787457  0.0004832611  7.167164e-008  
     104    9.000491    66.83801    30.21182    4.065312    1.196648   0.1898294  0.07727186  0.0004805393  7.152512e-008  
     105    8.920547    66.21558    29.92387    4.028984     1.18631   0.1882945  0.07668084  0.0004778734  7.13842e-008  
     106    8.842079    65.60446    29.64134    3.993345     1.17617   0.1867892  0.07610118  0.0004752619  7.124875e-008  
     107    8.765046    65.00434    29.36407    3.958374    1.166222   0.1853126  0.07553256  0.0004727032  7.111862e-008  
     108    8.689409    64.41493     29.0919    3.924053     1.15646   0.1838639  0.07497467  0.000470196  7.099371e-008  
     109    8.615129    63.83595    28.82471    3.890365    1.146881   0.1824425  0.07442723  0.0004677389  7.08739e-008  
     110    8.542169     63.2671    28.56236    3.857292    1.137478   0.1810474  0.07388995  0.0004653306  7.075906e-008  
     111    8.470496    62.70813    28.30472    3.824817    1.128248   0.1796781  0.07336254  0.0004629698  7.06491e-008  
     112    8.400074    62.15878    28.05166    3.792924    1.119184   0.1783338  0.07284476  0.0004606553  7.054391e-008  
     113    8.330871    61.61879    27.80305    3.761598    1.110284   0.1770138  0.07233634  0.0004583859  7.044339e-008  
     114    8.262854    61.08794     27.5588    3.730823    1.101542   0.1757175  0.07183703  0.0004561604  7.034744e-008  
