KVALUES
Results of phase equilibrium constant Ki at temperature = 563.4

P(psia)  K[1]	K[2]	
    4580    35.27127  0.05852729  
    4590    35.25423  0.05860362  
    4600    35.23723  0.05867981  
    4610    35.22027  0.05875587  
    4620    35.20334  0.05883181  
    4630    35.18644  0.05890761  
    4640    35.16958  0.05898329  
    4650    35.15276  0.05905885  
    4660    35.13597  0.05913427  
    4670    35.11921  0.05920957  
    4680    35.10249  0.05928475  
    4690     35.0858   0.0593598  
    4700    35.06915  0.05943472  
    4710    35.05253  0.05950952  
    4720    35.03595   0.0595842  
    4730    35.01939  0.05965875  
    4740    35.00287  0.05973318  
    4750    34.98639  0.05980749  
    4760    34.96994  0.05988168  
    4770    34.95352  0.05995574  
    4780    34.93713  0.06002969  
    4790    34.92078  0.06010351  
    4800    34.90446  0.06017722  
    4810    34.88817   0.0602508  
    4820    34.87192  0.06032427  
    4830     34.8557  0.06039762  
    4840    34.83951  0.06047084  
    4850    34.82335  0.06054396  
    4860    34.80722  0.06061695  
    4870    34.79113  0.06068983  
    4880    34.77507  0.06076259  
    4890    34.75904  0.06083523  
    4900    34.74304  0.06090776  
    4910    34.72707  0.06098018  
    4920    34.71113  0.06105247  
    4930    34.69523  0.06112466  
    4940    34.67935  0.06119673  
    4950    34.66351  0.06126869  
    4960     34.6477  0.06134053  
    4970    34.63192  0.06141226  
    4980    34.61616  0.06148388  
    4990    34.60044  0.06155539  
    5000    34.58475  0.06162678  
    5010    34.56909  0.06169807  
    5020    34.55346  0.06176924  
    5030    34.53786   0.0618403  
    5040    34.52229  0.06191126  
    5050    34.50675   0.0619821  
    5060    34.49124  0.06205284  
    5070    34.47576  0.06212346  
    5080    34.46031  0.06219398  
    5090    34.44489  0.06226439  
    5100    34.42949  0.06233469  
    5110    34.41413  0.06240488  
    5120     34.3988  0.06247497  
    5130    34.38349  0.06254495  
    5140    34.36821  0.06261483  
    5150    34.35297  0.06268459  
    5160    34.33775  0.06275426  
    5170    34.32256  0.06282381  
    5180    34.30739  0.06289327  
    5190    34.29226  0.06296262  
    5200    34.27715  0.06303186  
    5210    34.26208    0.063101  
    5220    34.24703  0.06317004  
    5230      34.232  0.06323897  
    5240    34.21701   0.0633078  
    5250    34.20204  0.06337653  
    5260     34.1871  0.06344516  
    5270    34.17219  0.06351368  
    5280    34.15731  0.06358211  
    5290    34.14245  0.06365043  
    5300    34.12763  0.06371865  
    5310    34.11282  0.06378677  
    5320    34.09805   0.0638548  
    5330     34.0833  0.06392272  
    5340    34.06858  0.06399054  
    5350    34.05389  0.06405826  
    5360    34.03922  0.06412589  
    5370    34.02458  0.06419342  
    5380    34.00996  0.06426084  
    5390    33.99538  0.06432817  
    5400    33.98081  0.06439541  
    5410    33.96628  0.06446254  
    5420    33.95177  0.06452958  
    5430    33.93729  0.06459652  
    5440    33.92283  0.06466337  
    5450     33.9084  0.06473012  
    5460    33.89399  0.06479677  
    5470    33.87961  0.06486333  
    5480    33.86526  0.06492979  
    5490    33.85093  0.06499616  
    5500    33.83663  0.06506244  
    5510    33.82235  0.06512862  
    5520     33.8081   0.0651947  
    5530    33.79387   0.0652607  
    5540    33.77967   0.0653266  
    5550    33.76549   0.0653924  
    5560    33.75134  0.06545812  
    5570    33.73721  0.06552374  
