Results for well: PROD_Seg.out in the reservoir: PROD_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	X[0]	X[1]	X[2]	X[3]	X[4]	
Seg 11	560.816	99.67	0.305125	0.607082	-0.301957	0	0.844111	0.155889	0		0.966484	0.0277072	0.00198869	0.00381995	0	0.150715	0.175633	0.224546	0.449105	0	
Seg 12	561.897	99.67	0.401656	0.695551	-0.293895	0	0.842348	0.157652	0		0.966524	0.0276688	0.00198835	0.00381904	0	0.150987	0.175526	0.224492	0.448996	0	
Seg 13	562.986	99.67	0.497944	0.778092	-0.280148	0	0.84169	0.15831	0		0.966564	0.0276294	0.00198803	0.00381816	0	0.151261	0.175412	0.224439	0.448889	0	
Seg 14	564.083	99.67	0.594021	0.859151	-0.265129	0	0.841262	0.158738	0		0.966605	0.02759	0.00198771	0.00381728	0	0.151537	0.175299	0.224385	0.44878	0	
Seg 15	565.191	99.67	0.689927	0.939685	-0.249758	0	0.840818	0.159182	0		0.966644	0.0275518	0.00198738	0.00381637	0	0.151816	0.175193	0.224327	0.448664	0	
Seg 16	566.311	99.67	0.785709	1.01968	-0.233973	0	0.840008	0.159992	0		0.966682	0.0275158	0.00198702	0.00381541	0	0.152098	0.175102	0.224264	0.448537	0	
Seg 17	567.456	99.67	0.881417	1.09772	-0.216307	0	0.837197	0.162803	0		0.966717	0.0274822	0.00198661	0.00381435	0	0.152386	0.175028	0.224192	0.448394	0	
Seg 18	568.681	99.67	0.977097	1.16587	-0.18877	0	0.82454	0.17546	0		0.966747	0.0274534	0.00198609	0.00381305	0	0.152696	0.174991	0.224102	0.448211	0	
Seg 19	570.23	99.67	1.07282	1.18488	-0.112055	0	0.768132	0.231868	1.90359e-012		0.966753	0.0274516	0.00198496	0.00381053	0	0.153092	0.175159	0.223913	0.447836	0	
Seg 20	570.287	99.67	1.1748	0.986248	0.18855	7.59759e-012	0.839324	0.160676	6.47442e-012		0.966737	0.0274687	0.00198468	0.00380998	0	0.153109	0.175273	0.223869	0.44775	0	
Seg 21	570.35	99.67	1.24697	1.04673	0.200237	2.58699e-011	0.839278	0.160722	2.07646e-011		0.966738	0.0274673	0.00198465	0.00380991	0	0.153125	0.175271	0.223864	0.44774	0	
Seg 22	570.422	99.67	1.31939	1.10733	0.212061	8.44722e-011	0.839139	0.160861	6.40771e-011		0.96674	0.0274657	0.00198462	0.00380984	0	0.153143	0.175269	0.223859	0.447729	0	
Seg 23	570.501	99.67	1.3921	1.16782	0.224283	2.65312e-010	0.838762	0.161238	1.90734e-010		0.966742	0.0274639	0.00198459	0.00380975	0	0.153163	0.175267	0.223853	0.447717	0	
Seg 24	510.44	99.67	-26.574	0.144283	-0.248608	0	0.705659	0.294341	6.06315e-015		0.964927	0.0291594	0.00202032	0.00389298	0	0.137875	0.177567	0.228182	0.456376	0	
Seg 25	510.882	99.67	3.45765	2.9544	0.503249	1.70974e-014	0.854383	0.145617	4.94014e-015		0.964995	0.0290904	0.0020207	0.0038936	0	0.137983	0.177223	0.228261	0.456532	0	
