Results for well: PROD_Seg.out in the reservoir: PROD_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	X[0]	X[1]	X[2]	X[3]	X[4]	
Seg 8	323.639	99.67	13.3716	12.7947	0.576915	7.90686e-008	0.956855	0.0431448	5.91317e-009		0.95632	0.0365535	0.00241594	0.00471056	0	0.0885736	0.172543	0.246305	0.492579	0	
Seg 9	326.5	99.67	13.2484	12.671	0.577437	7.94577e-008	0.956415	0.0435853	5.99752e-009		0.956515	0.0363932	0.00240455	0.00468749	0	0.0893471	0.172772	0.24597	0.491911	0	
Seg 10	330.351	99.67	13.0859	12.5078	0.578125	7.98515e-008	0.955821	0.0441791	6.10208e-009		0.956772	0.0361809	0.00238962	0.00465723	0	0.0903873	0.17307	0.245524	0.491019	0	
Seg 11	334.165	99.67	12.9292	12.3504	0.578821	8.04173e-008	0.955232	0.0447684	6.2198e-009		0.957022	0.0359744	0.00237527	0.00462812	0	0.0914167	0.173356	0.245085	0.490142	0	
Seg 12	337.944	99.67	12.7777	12.1982	0.579511	8.09923e-008	0.954647	0.0453534	6.33858e-009		0.957265	0.0357734	0.00236146	0.0046001	0	0.0924357	0.173629	0.244654	0.489281	0	
Seg 13	341.689	99.67	12.631	12.0508	0.580195	8.15766e-008	0.954066	0.0459343	6.45846e-009		0.957501	0.0355777	0.00234816	0.0045731	0	0.0934447	0.173891	0.24423	0.488434	0	
Seg 14	345.402	99.67	12.4889	11.908	0.580871	8.217e-008	0.953489	0.0465111	6.57945e-009		0.95773	0.0353871	0.00233535	0.00454708	0	0.0944439	0.174141	0.243814	0.487602	0	
Seg 15	349.083	99.67	12.3511	11.7696	0.581541	8.27725e-008	0.952916	0.047084	6.70161e-009		0.957954	0.0352013	0.00232301	0.00452199	0	0.0954337	0.17438	0.243404	0.486783	0	
Seg 16	352.734	99.67	12.2175	11.6353	0.582204	8.33839e-008	0.952347	0.0476532	6.82495e-009		0.958171	0.0350201	0.00231111	0.00449777	0	0.0964145	0.174609	0.243	0.485976	0	
Seg 17	356.355	99.67	12.0878	11.5049	0.582859	8.40042e-008	0.951781	0.0482188	6.9495e-009		0.958383	0.0348434	0.00229962	0.00447438	0	0.0973864	0.174829	0.242603	0.485182	0	
Seg 18	359.948	99.67	11.9618	11.3783	0.583506	8.46331e-008	0.951219	0.0487809	7.0753e-009		0.958589	0.0346709	0.00228854	0.0044518	0	0.0983499	0.175039	0.242211	0.4844	0	
Seg 19	363.514	99.67	11.8393	11.2551	0.584144	8.52707e-008	0.95066	0.0493396	7.20237e-009		0.95879	0.0345025	0.00227783	0.00442996	0	0.0993051	0.17524	0.241825	0.48363	0	
Seg 20	365.72	99.67	11.7653	11.1807	0.584568	8.59171e-008	0.950314	0.0496859	7.3026e-009		0.958912	0.0343996	0.00227135	0.00441674	0	0.0998957	0.175361	0.241588	0.483155	0	
Seg 21	367.913	99.67	11.6922	11.1072	0.584963	8.63781e-008	0.94997	0.0500303	7.38769e-009		0.959033	0.0342984	0.00226502	0.0044038	0	0.100482	0.175479	0.241353	0.482686	0	
Seg 22	370.092	99.67	11.6204	11.035	0.585353	8.68428e-008	0.949627	0.050373	7.47333e-009		0.959151	0.0341988	0.00225882	0.00439115	0	0.101065	0.175593	0.24112	0.482221	0	
Seg 23	372.259	99.67	11.5498	10.9641	0.585737	8.7311e-008	0.949286	0.0507141	7.55953e-009		0.959268	0.0341007	0.00225277	0.00437878	0	0.101644	0.175704	0.24089	0.481761	0	


