Results for well: PROD_Seg.out in the reservoir: PROD_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	X[0]	X[1]	X[2]	X[3]	X[4]	
Seg 12	377.421	99.67	9.32145	8.6887	0.632748	0	0.89663	0.10337	0		0.959286	0.034135	0.00223545	0.00434358	0	0.103033	0.177307	0.239892	0.479767	0	
Seg 13	381.623	99.67	9.39685	8.72395	0.672907	0	0.892524	0.107476	0		0.959521	0.0339325	0.00222465	0.00432146	0	0.104153	0.177415	0.239483	0.478949	0	
Seg 14	386.025	99.67	9.47487	8.75771	0.717153	0	0.888132	0.111868	0		0.959764	0.0337228	0.00221372	0.00429903	0	0.105325	0.177511	0.23906	0.478104	0	
Seg 15	390.646	99.67	9.55533	8.78955	0.765783	0	0.883374	0.116626	0		0.960016	0.0335053	0.00220266	0.0042763	0	0.106554	0.177594	0.238622	0.47723	0	
Seg 16	395.505	99.67	9.63809	8.81892	0.819171	2.20387e-007	0.878215	0.121785	3.27647e-008		0.960276	0.0332798	0.00219146	0.00425326	0	0.107845	0.177663	0.238169	0.476324	0	
Seg 17	400.624	99.67	9.72296	8.84523	0.877733	3.26934e-008	0.872625	0.127375	4.7444e-009		0.960544	0.0330455	0.00218013	0.0042299	0	0.109202	0.177716	0.237698	0.475384	0	
Seg 18	406.025	99.67	9.80977	8.86786	0.941911	3.74254e-008	0.866577	0.133423	5.30136e-009		0.960823	0.0328021	0.00216866	0.00420623	0	0.110633	0.177752	0.237209	0.474406	0	
Seg 19	411.735	99.67	9.89834	8.88616	1.01218	4.27143e-008	0.86004	0.13996	5.90635e-009		0.961111	0.0325493	0.00215708	0.00418226	0	0.112142	0.177769	0.2367	0.473389	0	
Seg 20	414.597	99.67	10.0687	8.98032	1.08839	4.86073e-008	0.891885	0.108115	4.8284e-009		0.961254	0.0324239	0.00215147	0.00417064	0	0.112898	0.177768	0.236448	0.472885	0	
Seg 21	417.563	99.67	10.1685	9.04844	1.12005	5.20135e-008	0.889835	0.110165	5.11592e-009		0.9614	0.0322956	0.00214579	0.00415886	0	0.11368	0.177765	0.236188	0.472367	0	
Seg 22	420.636	99.67	10.269	9.11576	1.15321	5.56225e-008	0.887683	0.112317	5.41734e-009		0.961549	0.0321641	0.00214005	0.00414692	0	0.114491	0.177757	0.235921	0.471832	0	
Seg 23	423.823	99.67	10.3701	9.18217	1.18796	5.94442e-008	0.885428	0.114572	5.73306e-009		0.961701	0.0320295	0.00213424	0.00413483	0	0.11533	0.177745	0.235645	0.47128	0	
Seg 24	363.187	99.67	10.2845	9.5722	0.712342	0	0.930723	0.0692767	0		0.958678	0.0346148	0.00227761	0.00442957	0	0.0992208	0.175706	0.241698	0.483375	0	
Seg 25	365.309	99.67	10.3348	9.61799	0.716857	0	0.930624	0.0693759	0		0.958805	0.0345061	0.00227148	0.00441705	0	0.0997886	0.175776	0.241486	0.482949	0	
Seg 26	367.457	99.67	10.3877	9.66627	0.721468	0	0.930533	0.0694665	0		0.958933	0.0343973	0.00226537	0.00440457	0	0.100363	0.175846	0.241271	0.48252	0	
Seg 27	369.634	99.67	10.4432	9.71702	0.72617	0	0.930452	0.0695479	0		0.95906	0.0342883	0.00225927	0.00439211	0	0.100945	0.175915	0.241053	0.482086	0	
Seg 28	371.84	99.67	10.5011	9.77018	0.730955	0	0.93038	0.0696197	0		0.959188	0.0341791	0.0022532	0.00437969	0	0.101535	0.175984	0.240834	0.481647	0	
Seg 29	374.077	99.67	10.5616	9.82575	0.735818	0	0.930318	0.0696818	0		0.959316	0.0340696	0.00224714	0.0043673	0	0.102132	0.176052	0.240612	0.481204	0	
Seg 30	376.345	99.67	10.6244	9.88367	0.740752	4.34016e-007	0.930266	0.0697339	4.0858e-008		0.959444	0.0339599	0.0022411	0.00435493	0	0.102737	0.176119	0.240388	0.480756	0	
Seg 31	378.645	99.67	10.6897	9.94392	0.745751	2.88273e-008	0.930224	0.069776	2.69721e-009		0.959572	0.03385	0.00223508	0.0043426	0	0.103351	0.176186	0.240161	0.480303	0	
Seg 32	380.979	99.67	10.7573	10.0065	0.750809	3.07302e-008	0.930192	0.0698075	2.85719e-009		0.959701	0.0337397	0.00222907	0.00433028	0	0.103973	0.176252	0.239931	0.479844	0	
Seg 33	383.349	99.67	10.8272	10.0713	0.755918	3.27459e-008	0.930171	0.0698285	3.02493e-009		0.95983	0.0336292	0.00222308	0.004318	0	0.104604	0.176318	0.239699	0.47938	0	
Seg 34	385.754	99.67	10.8994	10.1384	0.761072	3.48799e-008	0.930161	0.0698386	3.2007e-009		0.959959	0.0335185	0.0022171	0.00430573	0	0.105244	0.176383	0.239464	0.478909	0	
Seg 35	388.196	99.67	10.9739	10.2077	0.766263	3.71379e-008	0.930162	0.0698376	3.38477e-009		0.960088	0.0334074	0.00221114	0.00429349	0	0.105894	0.176448	0.239225	0.478433	0	
Seg 36	390.676	99.67	11.0506	10.2791	0.771484	3.95258e-008	0.930175	0.0698254	3.57739e-009		0.960217	0.0332961	0.00220519	0.00428128	0	0.106553	0.176512	0.238984	0.477951	0	
Seg 37	393.196	99.67	11.1295	10.3528	0.776728	4.20495e-008	0.930198	0.0698016	3.77883e-009		0.960347	0.0331845	0.00219926	0.00426909	0	0.107223	0.176576	0.238739	0.477462	0	


