Results for well: PROD_Seg.out in the reservoir: PROD_Seg.out

t	BHP	q(Gas)	q(Oil)
days	psi	Mscf/d	stb/d
0         	0         	-         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	X[0]	X[1]	X[2]	X[3]	
Seg 26	646.394	160	7.25082	1.72369	5.52713	0	0.237724	0.762276	0		0.8731	0.0259694	0.0985955	0.00233472	0.14744	0.008753	0.304946	0.538861	
Seg 27	654.649	160	7.17586	1.64222	5.53364	0	0.228853	0.771147	0		0.873921	0.0258593	0.0978818	0.00233748	0.149317	0.00880729	0.304448	0.537427	
Seg 28	662.822	160	7.10372	1.56364	5.54008	0	0.220115	0.779885	0		0.874714	0.0257512	0.0971943	0.00234058	0.151172	0.00886011	0.303953	0.536015	
Seg 29	670.915	160	7.03424	1.48779	5.54645	0	0.211507	0.788493	0		0.87548	0.025645	0.0965313	0.002344	0.153006	0.00891155	0.30346	0.534623	
Seg 30	678.931	160	6.96726	1.41451	5.55275	0	0.203022	0.796978	0		0.87622	0.0255406	0.0958916	0.00234773	0.154818	0.00896164	0.302969	0.533251	


0.189692  	300       	160       	47.7471   	4573.99   	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	X[0]	X[1]	X[2]	X[3]	
Seg 0	300	160	14.6552	9.52963	5.12556	0	0.650256	0.349744	0		0.802043	0.0309337	0.164202	0.0028211	0.0654686	0.00532219	0.318111	0.611099	
Seg 1	317.786	160	13.8042	8.65893	5.14525	0	0.627269	0.372731	0		0.808985	0.0307175	0.157556	0.00274164	0.0698126	0.00557107	0.318314	0.606303	
Seg 2	334.88	160	13.0825	7.91929	5.1632	0	0.605335	0.394665	0		0.815055	0.0304943	0.151775	0.00267572	0.0739773	0.00580079	0.318322	0.6019	
Seg 3	351.389	160	12.4608	7.28092	5.17986	0	0.584307	0.415693	0		0.820426	0.0302678	0.146686	0.00262037	0.0779887	0.00601419	0.318184	0.597813	
Seg 4	367.397	160	11.9181	6.7226	5.19548	0	0.564068	0.435932	0		0.825228	0.0300404	0.142158	0.00257346	0.0818677	0.00621351	0.317934	0.593985	
Seg 5	382.971	160	11.4391	6.22884	5.21023	0	0.544523	0.455477	0		0.829559	0.0298137	0.138094	0.00253345	0.085631	0.00640053	0.317596	0.590372	
Seg 6	398.167	160	11.0123	5.78801	5.22425	0	0.525597	0.474403	0		0.833492	0.0295887	0.13442	0.00249915	0.0892923	0.00657672	0.317189	0.586942	
Seg 7	413.03	160	10.6289	5.39124	5.23767	0	0.507224	0.492776	0		0.837088	0.0293662	0.131076	0.00246965	0.0928629	0.00674326	0.316726	0.583668	
Seg 8	427.599	160	10.2821	5.03158	5.25057	0	0.489351	0.510649	0		0.840393	0.0291465	0.128016	0.00244425	0.0963525	0.00690115	0.316217	0.580529	
Seg 9	441.905	160	9.96654	4.70353	5.26301	0	0.471932	0.528068	0		0.843447	0.02893	0.125201	0.00242238	0.0997691	0.00705124	0.315671	0.577509	
Seg 10	455.976	160	9.67774	4.40268	5.27507	0	0.454928	0.545072	0		0.846279	0.0287168	0.1226	0.00240358	0.10312	0.00719426	0.315094	0.574592	
Seg 11	469.837	160	9.4122	4.12541	5.28678	0	0.438305	0.561695	0		0.848917	0.0285072	0.120189	0.00238749	0.10641	0.00733081	0.314491	0.571768	
Seg 12	483.507	160	9.16698	3.86877	5.2982	0	0.422034	0.577966	0		0.851381	0.028301	0.117944	0.00237379	0.109646	0.00746144	0.313866	0.569026	
Seg 13	497.005	160	8.93964	3.63028	5.30936	0	0.406088	0.593912	0		0.853692	0.0280984	0.115848	0.00236222	0.112832	0.00758661	0.313223	0.566359	
