Results for well: MSWell_1_Seg.out in the reservoir: MSWell_1_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 26	1438.66	166.558	4.84441	3.74728	0.0625217	1.0346	0.64136	0.0204378	0.338202
Seg 27	1462.62	166.347	4.7834	3.68654	0.0626563	1.0342	0.637362	0.0207152	0.341923
Seg 28	1486.43	166.136	4.72469	3.6281	0.0627916	1.0338	0.633435	0.0209897	0.345575
Seg 29	1510.12	165.924	4.66815	3.5718	0.0629276	1.03342	0.629578	0.0212613	0.349161
Seg 30	1533.68	165.712	4.61365	3.51753	0.0630644	1.03305	0.625786	0.0215301	0.352684
Seg 31	1557.13	165.5	4.56108	3.46517	0.0632019	1.0327	0.622059	0.0217963	0.356145
Seg 32	1580.46	165.287	4.51031	3.41461	0.0633403	1.03236	0.618393	0.02206	0.359547
Seg 33	1603.69	165.075	4.46126	3.36575	0.0634794	1.03203	0.614786	0.0223213	0.362893
Seg 34	1626.81	164.862	4.41382	3.31849	0.0636194	1.03171	0.611237	0.0225803	0.366183
Seg 35	1649.84	164.649	4.36792	3.27276	0.0637602	1.03141	0.607743	0.0228371	0.36942
Seg 36	1672.77	164.435	4.32348	3.22846	0.0639019	1.03111	0.604303	0.0230918	0.372606
Seg 37	1695.61	164.222	4.28041	3.18554	0.0640444	1.03083	0.600914	0.0233444	0.375742
Seg 38	1718.36	164.008	4.23866	3.14391	0.0641879	1.03056	0.597575	0.0235952	0.37883
Seg 39	1741.04	163.794	4.19816	3.10352	0.0643323	1.0303	0.594285	0.0238441	0.381871
Seg 40	1763.63	163.58	4.15884	3.06431	0.0644777	1.03005	0.591042	0.0240913	0.384867
Seg 41	1777.87	163.383	4.13472	3.04031	0.0645676	1.02984	0.636272	0.0214592	0.342269
Seg 42	1792.01	163.249	4.11096	3.01667	0.0646559	1.02964	0.637515	0.0214173	0.341068
Seg 43	1806.15	163.115	4.08758	2.99341	0.0647443	1.02943	0.635877	0.0215458	0.342577
Seg 44	1820.29	162.981	4.06457	2.9705	0.0648333	1.02923	0.634039	0.0216865	0.344275
Seg 45	1834.44	162.847	4.0419	2.94794	0.0649228	1.02903	0.632195	0.0218281	0.345976
Seg 46	1848.59	162.712	4.01957	2.92572	0.0650128	1.02884	0.630361	0.0219695	0.34767
Seg 47	1862.75	162.578	3.99757	2.90382	0.0651034	1.02864	0.628536	0.0221108	0.349353
Seg 48	1876.91	162.444	3.9759	2.88225	0.0651946	1.02845	0.62672	0.022252	0.351028
Seg 49	1891.08	162.309	3.95454	2.86099	0.0652863	1.02827	0.624914	0.022393	0.352693
Seg 50	1905.25	162.174	3.9335	2.84004	0.0653785	1.02808	0.623118	0.0225339	0.354348
Seg 51	1919.43	162.04	3.91275	2.81938	0.0654713	1.0279	0.621331	0.0226748	0.355994
Seg 52	1933.61	161.905	3.89231	2.79902	0.0655647	1.02772	0.619553	0.0228155	0.357632
Seg 53	1947.8	161.77	3.87215	2.77894	0.0656586	1.02755	0.617784	0.0229561	0.35926
Seg 54	1962	161.635	3.85228	2.75915	0.0657532	1.02738	0.616024	0.0230967	0.36088
Seg 55	1976.21	161.5	3.83268	2.73963	0.0658483	1.02721	0.614273	0.0232372	0.36249
