Results for well: MSWell_1_Seg.out in the reservoir: MSWell_1_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 33	5380.94	168.082	3.55599	0.401901	1.50765	1.64644	0.113008	0.423981	0.463012
Seg 34	5386.71	168.038	3.55573	0.401503	1.50778	1.64644	0.112904	0.42405	0.463046
Seg 35	5392.47	167.994	3.55546	0.401105	1.50792	1.64644	0.112801	0.424119	0.463081
Seg 36	5399.18	167.948	3.55511	0.400647	1.50802	1.64644	0.112683	0.42419	0.463127
Seg 37	5401.57	167.668	2.29259	0.253881	0.99492	1.04379	0.11072	0.433981	0.455299
Seg 38	5403.97	167.621	2.2927	0.253753	0.99518	1.04377	0.110659	0.434074	0.455267
Seg 39	5406.36	167.574	2.29281	0.253626	0.99544	1.04375	0.110598	0.434166	0.455236
Seg 40	5409.86	167.524	2.29286	0.253453	0.99568	1.04373	0.110521	0.434262	0.455217
Seg 41	4934.92	166.208	5.36494	0.846178	2.11995	2.39881	0.134538	0.406026	0.459436
Seg 42	4950.71	166.165	5.35038	0.83149	2.12021	2.39868	0.132646	0.406952	0.460402
Seg 43	4961.5	167.859	3.90914	0.563086	1.59741	1.74864	0.117982	0.421077	0.460941
Seg 44	4972.28	167.814	3.90192	0.555704	1.59764	1.74858	0.116734	0.421712	0.461554
Seg 45	4983.07	167.77	3.89472	0.548352	1.59786	1.74851	0.115482	0.422349	0.462168
Seg 46	4994.98	167.726	3.8868	0.540268	1.5981	1.74844	0.114099	0.423051	0.46285
Seg 47	5003.41	168.87	2.45199	0.292793	1.06306	1.09614	0.0911317	0.447472	0.461397
Seg 48	5011.84	168.819	2.44846	0.289082	1.06328	1.0961	0.0901987	0.447987	0.461815
Seg 49	5020.28	168.751	2.44699	0.287524	1.06338	1.09609	0.0897998	0.448207	0.461993
Seg 50	5029.97	168.672	2.44649	0.287003	1.0634	1.0961	0.0896685	0.448273	0.462058


0.106368  	2500      	-         	32498.4   	22189.3   	37020.8   	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	2500	166.865	53.8387	25.978	12.328	15.5327	0.482515	0.22898	0.288505
Seg 1	2657.68	166.961	29.1724	13.3805	7.04128	8.75066	0.448031	0.246111	0.305858
Seg 2	2810.21	166.624	28.1565	12.2769	7.13282	8.7468	0.425385	0.258106	0.316509
Seg 3	2958.29	166.288	27.2811	11.314	7.224	8.74306	0.404176	0.26957	0.326255
Seg 4	3102.46	165.958	26.5117	10.4637	7.3086	8.7394	0.384266	0.280418	0.335316
Seg 5	3243.2	165.631	25.8309	9.70609	7.38898	8.73583	0.365497	0.290753	0.343751
Seg 6	3380.89	165.306	25.2276	9.02589	7.46934	8.73233	0.347707	0.300722	0.351571
