Results for well: PROD_Seg.out in the reservoir: PROD_Seg.out

t	BHP	q(Gas)	q(Oil)
days	psi	Mscf/d	stb/d
0         	0         	-         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	X[0]	X[1]	X[2]	
Seg 7	771.676	85.4	0.738622	0.418456	0.320166	0	0.268973	0.731027	0		0.955339	0.0441043	0.000556197	0.207626	0.119331	0.673043	
Seg 8	778.881	85.4	0.732524	0.410013	0.322511	0	0.264521	0.735479	0		0.955513	0.0439267	0.000560174	0.209342	0.11923	0.671428	
Seg 9	786.125	85.4	0.726538	0.401669	0.32487	0	0.260083	0.739917	0		0.955684	0.0437514	0.000564245	0.211062	0.119127	0.669811	
Seg 10	793.406	85.4	0.720664	0.393423	0.327241	0	0.25566	0.74434	0		0.955853	0.0435786	0.000568414	0.212787	0.11902	0.668193	
Seg 11	800.725	85.4	0.714898	0.385273	0.329626	0	0.251251	0.748749	0		0.956019	0.0434081	0.000572681	0.214517	0.11891	0.666573	
Seg 12	808.082	85.4	0.709241	0.377218	0.332022	0	0.246858	0.753142	0		0.956183	0.0432401	0.000577047	0.21625	0.118797	0.664953	
Seg 13	815.475	85.4	0.703688	0.369257	0.334432	0	0.24248	0.75752	0		0.956344	0.0430744	0.000581514	0.217987	0.11868	0.663332	
Seg 14	822.906	85.4	0.69824	0.361388	0.336852	0	0.238118	0.761882	0		0.956503	0.0429111	0.000586082	0.219729	0.118561	0.66171	
Seg 15	830.374	85.4	0.692894	0.353609	0.339285	0	0.233771	0.766229	0		0.956659	0.0427501	0.000590754	0.221474	0.118439	0.660087	
Seg 16	837.878	85.4	0.687648	0.345919	0.341729	0	0.229441	0.770559	0		0.956813	0.0425914	0.000595531	0.223223	0.118314	0.658463	
Seg 17	845.419	85.4	0.682501	0.338317	0.344183	0	0.225127	0.774873	0		0.956964	0.0424351	0.000600415	0.224975	0.118186	0.656839	
Seg 18	852.995	85.4	0.677451	0.330802	0.346649	0	0.22083	0.77917	0		0.957114	0.0422811	0.000605406	0.226731	0.118056	0.655213	
Seg 19	860.608	85.4	0.672496	0.323372	0.349124	0	0.216551	0.783449	0		0.95726	0.0421294	0.000610506	0.22849	0.117922	0.653587	
Seg 20	868.256	85.4	0.667635	0.316025	0.35161	0	0.212288	0.787712	0		0.957404	0.0419799	0.000615716	0.230253	0.117787	0.651961	
Seg 21	875.934	85.4	0.66287	0.308778	0.354092	0	0.208626	0.791374	0		0.957546	0.0418329	0.000621036	0.232017	0.117649	0.650334	
Seg 22	883.637	85.4	0.658202	0.301622	0.35658	0	0.205644	0.794356	0		0.957685	0.0416883	0.000626461	0.233782	0.117508	0.64871	
Seg 23	891.363	85.4	0.653629	0.294557	0.359071	0	0.202662	0.797338	0		0.957822	0.0415461	0.000631994	0.235548	0.117365	0.647087	
Seg 24	899.114	85.4	0.649149	0.287592	0.361557	0	0.19968	0.80032	0		0.957956	0.0414063	0.000637635	0.237313	0.117221	0.645466	
Seg 25	906.888	85.4	0.64476	0.280723	0.364037	0	0.196697	0.803303	0		0.958088	0.0412689	0.000643386	0.23908	0.117074	0.643846	
Seg 26	914.687	85.4	0.64046	0.273949	0.366511	0	0.193715	0.806285	0		0.958217	0.0411338	0.000649248	0.240846	0.116925	0.642228	
Seg 27	922.509	85.4	0.636247	0.267269	0.368978	0	0.190731	0.809269	0		0.958344	0.0410011	0.000655223	0.242613	0.116775	0.640612	
Seg 28	930.355	85.4	0.632119	0.26068	0.371439	0	0.187747	0.812253	0		0.958468	0.0408706	0.000661313	0.24438	0.116622	0.638998	
Seg 29	938.225	85.4	0.628074	0.254181	0.373893	0	0.18476	0.81524	0		0.95859	0.0407425	0.000667518	0.246147	0.116468	0.637385	
Seg 30	946.118	85.4	0.62411	0.247769	0.376341	0	0.181772	0.818228	0		0.95871	0.0406165	0.000673841	0.247915	0.116312	0.635773	
Seg 31	954.035	85.4	0.620226	0.241444	0.378781	0	0.178782	0.821218	0		0.958827	0.0404928	0.000680282	0.249682	0.116154	0.634164	
Seg 32	961.976	85.4	0.616419	0.235204	0.381215	0	0.175788	0.824212	0		0.958942	0.0403712	0.000686844	0.25145	0.115994	0.632555	
Seg 33	969.94	85.4	0.612689	0.229047	0.383642	0	0.172792	0.827208	0		0.959055	0.0402518	0.000693529	0.253218	0.115834	0.630949	
Seg 34	977.928	85.4	0.609032	0.222971	0.386061	0	0.169792	0.830208	0		0.959165	0.0401346	0.000700337	0.254985	0.115671	0.629344	
Seg 35	985.939	85.4	0.605449	0.216975	0.388473	0	0.166788	0.833212	0		0.959273	0.0400194	0.000707271	0.256753	0.115507	0.62774	
Seg 36	993.973	85.4	0.601936	0.211058	0.390878	0	0.163779	0.836221	0		0.959379	0.0399063	0.000714333	0.25852	0.115342	0.626138	
Seg 37	1002.03	85.4	0.598493	0.205218	0.393276	0	0.160766	0.839234	0		0.959483	0.0397953	0.000721523	0.260288	0.115175	0.624537	
Seg 38	1010.11	85.4	0.595119	0.199453	0.395666	0	0.157747	0.842253	0		0.959585	0.0396864	0.000728845	0.262055	0.115007	0.622938	
Seg 39	1018.22	85.4	0.59181	0.193762	0.398049	0	0.154722	0.845278	0		0.959684	0.0395794	0.0007363	0.263822	0.114837	0.621341	
Seg 40	1026.35	85.4	0.588567	0.188144	0.400424	0	0.151691	0.848309	0		0.959782	0.0394744	0.00074389	0.265589	0.114667	0.619744	
Seg 41	1034.5	85.4	0.585388	0.182597	0.402791	0	0.148652	0.851348	0		0.959877	0.0393714	0.000751616	0.267356	0.114495	0.61815	
Seg 42	1042.67	85.4	0.582271	0.17712	0.405151	0	0.145606	0.854394	0		0.95997	0.0392703	0.000759481	0.269122	0.114322	0.616556	
Seg 43	1050.87	85.4	0.579215	0.171712	0.407503	0	0.142551	0.857449	0		0.960061	0.0391711	0.000767488	0.270888	0.114147	0.614964	
Seg 44	1059.09	85.4	0.576219	0.166371	0.409848	0	0.139488	0.860512	0		0.960151	0.0390738	0.000775637	0.272654	0.113972	0.613374	
Seg 45	1067.34	85.4	0.573281	0.161097	0.412184	0	0.136415	0.863585	0		0.960238	0.0389784	0.000783931	0.274419	0.113796	0.611785	
Seg 46	1075.61	85.4	0.570401	0.155887	0.414514	0	0.133332	0.866668	0		0.960323	0.0388848	0.000792372	0.276185	0.113618	0.610197	
Seg 47	1083.9	85.4	0.567577	0.150741	0.416835	0	0.130237	0.869763	0		0.960406	0.0387931	0.000800963	0.277949	0.11344	0.608611	
Seg 48	1092.21	85.4	0.564807	0.145658	0.41915	0	0.127131	0.872869	0		0.960487	0.0387031	0.000809706	0.279714	0.113261	0.607026	
Seg 49	1100.55	85.4	0.562091	0.140635	0.421456	0	0.124012	0.875988	0		0.960566	0.0386149	0.000818603	0.281477	0.113081	0.605442	
Seg 50	1108.91	85.4	0.559428	0.135673	0.423755	0	0.120879	0.879121	0		0.960644	0.0385285	0.000827656	0.283241	0.1129	0.603859	


0.45087 0.0948648 0.454265 0.45087 0.0948648 0.454265 0.954247 0.0452185 0.000534329 0.197454 0.119857 0.682689 0.954433 0.0450289 0.000537709 0.199117 0.11978 0.681103 0.95462 0.0448392 0.000541224 0.200809 0.119697 0.679494 0.954803 0.0446518 0.00054483 0.202506 0.119611 0.677884 0.954985 0.0444669 0.000548527 0.204208 0.119521 0.676271 0.955163 0.0442844 0.000552315 0.205914 0.119428 0.674658 0.955339 0.0441043 0.000556197 0.207626 0.119331 0.673043 0.955513 0.0439267 0.000560174 0.209342 0.11923 0.671428 0.955684 0.0437514 0.000564245 0.211062 0.119127 0.669811 0.955853 0.0435786 0.000568414 0.212787 0.11902 0.668193 0.956019 0.0434081 0.000572681 0.214517 0.11891 0.666573 0.956183 0.0432401 0.000577047 0.21625 0.118797 0.664953 0.956344 0.0430744 0.000581514 0.217987 0.11868 0.663332 0.956503 0.0429111 0.000586082 0.219729 0.118561 0.66171 0.956659 0.0427501 0.000590754 0.221474 0.118439 0.660087 0.956813 0.0425914 0.000595531 0.223223 0.118314 0.658463 0.956964 0.0424351 0.000600415 0.224975 0.118186 0.656839 0.957114 0.0422811 0.000605406 0.226731 0.118056 0.655213 0.95726 0.0421294 0.000610506 0.22849 0.117922 0.653587 0.957404 0.0419799 0.000615716 0.230253 0.117787 0.651961 0.957546 0.0418329 0.000621036 0.232017 0.117649 0.650334 0.957685 0.0416883 0.000626461 0.233782 0.117508 0.64871 0.957822 0.0415461 0.000631994 0.235548 0.117365 0.647087 0.957956 0.0414063 0.000637635 0.237313 0.117221 0.645466 0.958088 0.0412689 0.000643386 0.23908 0.117074 0.643846 0.958217 0.0411338 0.000649248 0.240846 0.116925 0.642228 0.958344 0.0410011 0.000655223 0.242613 0.116775 0.640612 0.958468 0.0408706 0.000661313 0.24438 0.116622 0.638998 0.95859 0.0407425 0.000667518 0.246147 0.116468 0.637385 0.95871 0.0406165 0.000673841 0.247915 0.116312 0.635773 0.958827 0.0404928 0.000680282 0.249682 0.116154 0.634164 0.958942 0.0403712 0.000686844 0.25145 0.115994 0.632555 0.959055 0.0402518 0.000693529 0.253218 0.115834 0.630949 0.959165 0.0401346 0.000700337 0.254985 0.115671 0.629344 0.959273 0.0400194 0.000707271 0.256753 0.115507 0.62774 0.959379 0.0399063 0.000714333 0.25852 0.115342 0.626138 0.959483 0.0397953 0.000721523 0.260288 0.115175 0.624537 0.959585 0.0396864 0.000728845 0.262055 0.115007 0.622938 0.959684 0.0395794 0.0007363 0.263822 0.114837 0.621341 0.959782 0.0394744 0.00074389 0.265589 0.114667 0.619744 0.959877 0.0393714 0.000751616 0.267356 0.114495 0.61815 0.95997 0.0392703 0.000759481 0.269122 0.114322 0.616556 0.960061 0.0391711 0.000767488 0.270888 0.114147 0.614964 0.960151 0.0390738 0.000775637 0.272654 0.113972 0.613374 0.960238 0.0389784 0.000783931 0.274419 0.113796 0.611785 0.960323 0.0388848 0.000792372 0.276185 0.113618 0.610197 0.960406 0.0387931 0.000800963 0.277949 0.11344 0.608611 0.960487 0.0387031 0.000809706 0.279714 0.113261 0.607026 0.960566 0.0386149 0.000818603 0.281477 0.113081 0.605442 0.960644 0.0385285 0.000827656 0.283241 0.1129 0.603859 0.0226551 	725.189   	85.4      	18.0222   	3023.77   	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	X[0]	X[1]	X[2]	
Seg 0	725.189	85.4	3.86901	3.86901	0	0	1	0	0		0.393909	0.100829	0.505263	0.393909	0.100829	0.505263	
Seg 1	730.164	85.4	0.645058	0.33	0.315058	0	0.511582	0.488418	0		0.95411	0.0453555	0.000534675	0.19764	0.120265	0.682095	
Seg 2	737.743	85.4	0.639256	0.323095	0.316161	0	0.223364	0.776636	0		0.954325	0.0451363	0.000538419	0.199474	0.120151	0.680375	
Seg 3	745.397	85.4	0.633533	0.316361	0.317171	0	0.214816	0.785184	0		0.954538	0.0449196	0.000542281	0.20132	0.120034	0.678645	
Seg 4	753.082	85.4	0.62792	0.309796	0.318124	0	0.211126	0.788874	0		0.954747	0.0447068	0.000546242	0.203169	0.119914	0.676917	
Seg 5	760.791	85.4	0.622421	0.30334	0.31908	0	0.208265	0.791735	0		0.954952	0.044498	0.000550298	0.205018	0.119791	0.675191	
